x(rad),y(rad),z(rad),internal_ts,watch_timestamp
0.000000,-0.001222,0.000000,17819137362047,2025-04-23 16:03:51.662
0.000000,-0.001222,0.000000,17819167360827,2025-04-23 16:03:51.685
-0.001222,0.000000,0.000000,17819197298571,2025-04-23 16:03:51.724
-0.001222,-0.001222,-0.001222,17819227266832,2025-04-23 16:03:51.746
0.000000,0.000000,0.000000,17819257235094,2025-04-23 16:03:51.786
0.000000,-0.001222,-0.001222,17819287203356,2025-04-23 16:03:51.806
-0.001222,-0.001222,0.000000,17819317171618,2025-04-23 16:03:51.846
0.000000,0.000000,0.000000,17819347170397,2025-04-23 16:03:51.866
0.000000,-0.002443,-0.001222,17819377138659,2025-04-23 16:03:51.904
0.000000,-0.001222,-0.001222,17819407106920,2025-04-23 16:03:51.926
0.000000,0.000000,0.000000,17819497072741,2025-04-23 16:03:52.026
-0.001222,-0.001222,0.000000,17819527041002,2025-04-23 16:03:52.046
-0.001222,-0.001222,0.000000,17819557039782,2025-04-23 16:03:52.087
0.000000,-0.001222,0.000000,17819587008043,2025-04-23 16:03:52.107
-0.001222,0.000000,0.000000,17819616976305,2025-04-23 16:03:52.149
0.000000,0.000000,0.000000,17819646944567,2025-04-23 16:03:52.167
0.001222,-0.001222,0.000000,17819676882311,2025-04-23 16:03:52.204
-0.002443,0.000000,0.000000,17819706911608,2025-04-23 16:03:52.226
0.000000,0.000000,0.001222,17819796816393,2025-04-23 16:03:52.327
0.000000,-0.001222,0.000000,17819826815172,2025-04-23 16:03:52.346
-0.001222,-0.001222,0.000000,17819856783434,2025-04-23 16:03:52.389
0.001222,-0.001222,0.000000,17819886751696,2025-04-23 16:03:52.409
0.000000,-0.001222,0.000000,17819916750475,2025-04-23 16:03:52.445
0.000000,-0.001222,0.000000,17819946749254,2025-04-23 16:03:52.464
-0.001222,0.000000,0.001222,17819976686998,2025-04-23 16:03:52.508
-0.001222,0.000000,0.001222,17820006624743,2025-04-23 16:03:52.525
0.000000,-0.001222,0.000000,17820096468493,2025-04-23 16:03:52.625
0.000000,-0.001222,0.000000,17820126467272,2025-04-23 16:03:52.647
0.000000,0.000000,0.000000,17820156435534,2025-04-23 16:03:52.689
0.001222,-0.002443,-0.001222,17820186403795,2025-04-23 16:03:52.709
0.000000,-0.001222,0.000000,17820216372057,2025-04-23 16:03:52.747
-0.001222,-0.001222,0.000000,17820246370836,2025-04-23 16:03:52.766
-0.001222,0.000000,0.000000,17820276339098,2025-04-23 16:03:52.804
-0.001222,-0.001222,0.000000,17820306337877,2025-04-23 16:03:52.825
-0.001222,-0.001222,0.000000,17820396212145,2025-04-23 16:03:52.925
0.001222,-0.001222,0.000000,17820426210924,2025-04-23 16:03:52.947
0.000000,-0.001222,0.000000,17820456209703,2025-04-23 16:03:52.987
0.000000,0.000000,0.000000,17820486177965,2025-04-23 16:03:53.004
0.000000,0.000000,0.000000,17820516115709,2025-04-23 16:03:53.047
-0.001222,-0.001222,0.000000,17820546114489,2025-04-23 16:03:53.067
-0.001222,0.000000,0.000000,17820576113268,2025-04-23 16:03:53.107
-0.001222,0.000000,0.000000,17820606051012,2025-04-23 16:03:53.128
0.000000,-0.001222,0.000000,17820695986315,2025-04-23 16:03:53.225
-0.001222,-0.001222,-0.001222,17820725985094,2025-04-23 16:03:53.245
-0.001222,-0.001222,0.000000,17820755983873,2025-04-23 16:03:53.279
-0.001222,-0.001222,0.000000,17820785982653,2025-04-23 16:03:53.301
0.000000,0.000000,0.000000,17820815981432,2025-04-23 16:03:53.342
0.000000,-0.001222,0.000000,17820845919176,2025-04-23 16:03:53.366
0.001222,0.000000,0.000000,17820875917955,2025-04-23 16:03:53.403
0.000000,0.000000,0.000000,17820905886217,2025-04-23 16:03:53.426
0.000000,0.000000,0.000000,17820935854479,2025-04-23 16:03:53.467
0.000000,0.000000,0.000000,17820965853258,2025-04-23 16:03:53.484
-0.001222,0.000000,0.000000,17820995791002,2025-04-23 16:03:53.524
-0.001222,0.000000,0.000000,17821025759264,2025-04-23 16:03:53.546
0.000000,0.000000,0.000000,17821055697008,2025-04-23 16:03:53.585
-0.001222,0.000000,0.000000,17821085665270,2025-04-23 16:03:53.603
-0.001222,0.000000,0.000000,17821115664049,2025-04-23 16:03:53.644
0.000000,0.000000,0.000000,17821145632311,2025-04-23 16:03:53.665
-0.001222,0.000000,-0.001222,17821175631090,2025-04-23 16:03:53.703
0.000000,0.001222,0.000000,17821205599352,2025-04-23 16:03:53.726
0.000000,0.001222,0.000000,17821235598131,2025-04-23 16:03:53.765
0.000000,0.001222,0.000000,17821265596910,2025-04-23 16:03:53.784
-0.001222,0.000000,0.001222,17821295534655,2025-04-23 16:03:53.826
0.000000,0.000000,0.000000,17821325563952,2025-04-23 16:03:53.847
0.000000,0.000000,0.000000,17821355532213,2025-04-23 16:03:53.880
0.000000,0.000000,0.000000,17821385469957,2025-04-23 16:03:53.902
0.000000,0.001222,0.000000,17821415438219,2025-04-23 16:03:53.942
0.000000,0.000000,0.000000,17821445467516,2025-04-23 16:03:53.967
-0.001222,0.000000,0.000000,17821475496813,2025-04-23 16:03:54.004
0.000000,0.001222,0.000000,17821505404039,2025-04-23 16:03:54.024
-0.001222,0.000000,-0.001222,17821535433336,2025-04-23 16:03:54.066
-0.001222,0.000000,0.000000,17821565432116,2025-04-23 16:03:54.085
0.000000,0.000000,0.000000,17821595369860,2025-04-23 16:03:54.127
-0.001222,0.000000,0.000000,17821625368639,2025-04-23 16:03:54.149
0.000000,0.000000,-0.001222,17821655336901,2025-04-23 16:03:54.186
0.000000,0.000000,0.000000,17821685366198,2025-04-23 16:03:54.205
-0.001222,0.001222,0.000000,17821715364977,2025-04-23 16:03:54.247
-0.001222,0.001222,-0.001222,17821745363756,2025-04-23 16:03:54.267
-0.001222,0.001222,0.000000,17821775362535,2025-04-23 16:03:54.303
-0.002443,0.001222,0.000000,17821805361315,2025-04-23 16:03:54.326
-0.001222,0.000000,0.000000,17821895266100,2025-04-23 16:03:54.423
0.000000,0.001222,0.000000,17821925295397,2025-04-23 16:03:54.445
0.000000,0.000000,0.000000,17821955294176,2025-04-23 16:03:54.482
-0.001222,-0.001222,0.000000,17821985201403,2025-04-23 16:03:54.503
-0.001222,0.000000,0.000000,17822075106188,2025-04-23 16:03:54.602
-0.001222,0.000000,0.000000,17822105104967,2025-04-23 16:03:54.624
-0.001222,0.001222,0.000000,17822135103746,2025-04-23 16:03:54.664
0.000000,0.001222,0.000000,17822165102526,2025-04-23 16:03:54.685
0.000000,0.000000,0.000000,17822195040270,2025-04-23 16:03:54.725
0.001222,0.000000,0.000000,17822225008532,2025-04-23 16:03:54.745
0.000000,0.000000,0.000000,17822255068346,2025-04-23 16:03:54.782
0.000000,0.000000,0.000000,17822285036608,2025-04-23 16:03:54.805
0.000000,0.000000,0.000000,17822374971910,2025-04-23 16:03:54.905
-0.001222,0.000000,0.000000,17822404940172,2025-04-23 16:03:54.923
0.000000,0.001222,0.000000,17822434938952,2025-04-23 16:03:54.964
0.000000,0.000000,0.000000,17822464907213,2025-04-23 16:03:54.984
0.000000,0.001222,0.000000,17822494905993,2025-04-23 16:03:55.025
0.000000,0.000000,0.000000,17822524904772,2025-04-23 16:03:55.045
0.000000,0.000000,0.000000,17822554842516,2025-04-23 16:03:55.083
-0.001222,0.000000,0.000000,17822584780260,2025-04-23 16:03:55.106
0.001222,0.000000,-0.001222,17822674685045,2025-04-23 16:03:55.201
0.000000,0.000000,0.000000,17822704683825,2025-04-23 16:03:55.225
-0.001222,0.001222,0.000000,17822734682604,2025-04-23 16:03:55.265
-0.001222,0.000000,0.000000,17822764650866,2025-04-23 16:03:55.284
0.000000,0.000000,0.000000,17822794619127,2025-04-23 16:03:55.326
-0.001222,0.000000,0.000000,17822824617907,2025-04-23 16:03:55.349
-0.001222,0.000000,0.000000,17822854586168,2025-04-23 16:03:55.382
