x(rad),y(rad),z(rad),internal_ts,watch_timestamp
-0.007330,0.002443,-0.004887,11675951157554,2025-08-17 22:22:54.934
-0.007330,0.003665,-0.004887,11675981156333,2025-08-17 22:22:54.954
-0.008552,0.003665,-0.003665,11676011124595,2025-08-17 22:22:54.994
-0.007330,0.003665,-0.004887,11676041153892,2025-08-17 22:22:55.014
-0.007330,0.003665,-0.003665,11676071152671,2025-08-17 22:22:55.056
-0.007330,0.003665,-0.003665,11676101181968,2025-08-17 22:22:55.081
-0.007330,0.003665,-0.003665,11676131180747,2025-08-17 22:22:55.110
-0.007330,0.003665,-0.003665,11676161210044,2025-08-17 22:22:55.133
-0.007330,0.003665,-0.003665,11676191208824,2025-08-17 22:22:55.171
-0.007330,0.002443,-0.004887,11676221207603,2025-08-17 22:22:55.192
-0.008552,0.003665,-0.004887,11676251206382,2025-08-17 22:22:55.226
-0.009774,0.004887,-0.003665,11676281266197,2025-08-17 22:22:55.253
-0.008552,0.003665,-0.003665,11676311264976,2025-08-17 22:22:55.291
-0.009774,0.004887,-0.003665,11676341263755,2025-08-17 22:22:55.312
-0.007330,0.003665,-0.003665,11676431260093,2025-08-17 22:22:55.415
-0.008552,0.002443,-0.003665,11676461258872,2025-08-17 22:22:55.432
-0.007330,0.003665,-0.003665,11676551255210,2025-08-17 22:22:55.534
-0.008552,0.002443,-0.003665,11676581253990,2025-08-17 22:22:55.555
-0.007330,0.004887,-0.003665,11676611283286,2025-08-17 22:22:55.591
-0.007330,0.003665,-0.004887,11676641312583,2025-08-17 22:22:55.618
-0.007330,0.003665,-0.003665,11676671372398,2025-08-17 22:22:55.652
-0.007330,0.003665,-0.003665,11676701401695,2025-08-17 22:22:55.672
-0.007330,0.003665,-0.004887,11676731430992,2025-08-17 22:22:55.711
-0.008552,0.002443,-0.004887,11676761460288,2025-08-17 22:22:55.733
-0.008552,0.003665,-0.003665,11676791489585,2025-08-17 22:22:55.773
-0.008552,0.004887,-0.004887,11676821488365,2025-08-17 22:22:55.793
-0.007330,0.003665,-0.003665,11676851517661,2025-08-17 22:22:55.833
-0.007330,0.004887,-0.004887,11676881485923,2025-08-17 22:22:55.850
-0.007330,0.002443,-0.003665,11676911515220,2025-08-17 22:22:55.885
-0.007330,0.003665,-0.003665,11676941483482,2025-08-17 22:22:55.910
-0.007330,0.002443,-0.004887,11676971421226,2025-08-17 22:22:55.945
-0.006109,0.003665,-0.004887,11677001420005,2025-08-17 22:22:55.971
-0.007330,0.003665,-0.003665,11677031388267,2025-08-17 22:22:56.013
-0.008552,0.003665,-0.003665,11677061356529,2025-08-17 22:22:56.032
-0.008552,0.003665,-0.004887,11677091355308,2025-08-17 22:22:56.074
-0.007330,0.003665,-0.004887,11677121354087,2025-08-17 22:22:56.092
-0.007330,0.002443,-0.004887,11677151352867,2025-08-17 22:22:56.133
-0.007330,0.002443,-0.004887,11677181321128,2025-08-17 22:22:56.153
-0.007330,0.002443,-0.003665,11677211319908,2025-08-17 22:22:56.189
-0.007330,0.003665,-0.003665,11677241349204,2025-08-17 22:22:56.212
-0.007330,0.003665,-0.003665,11677391434654,2025-08-17 22:22:56.372
-0.008552,0.003665,-0.003665,11677421433433,2025-08-17 22:22:56.394
-0.007330,0.002443,-0.003665,11677451432212,2025-08-17 22:22:56.434
-0.007330,0.003665,-0.004887,11677481430992,2025-08-17 22:22:56.452
-0.008552,0.004887,-0.003665,11677511429771,2025-08-17 22:22:56.494
-0.008552,0.003665,-0.003665,11677541428550,2025-08-17 22:22:56.513
-0.008552,0.003665,-0.004887,11677571457847,2025-08-17 22:22:56.555
-0.007330,0.003665,-0.004887,11677601456626,2025-08-17 22:22:56.573
-0.007330,0.003665,-0.003665,11677631455406,2025-08-17 22:22:56.617
-0.007330,0.003665,-0.003665,11677661454185,2025-08-17 22:22:56.632
-0.007330,0.003665,-0.004887,11677691483482,2025-08-17 22:22:56.670
-0.007330,0.003665,-0.003665,11677721512779,2025-08-17 22:22:56.692
