x(rad),y(rad),z(rad),internal_ts,watch_timestamp
-0.014661,-0.003665,0.000000,3773625862170,2025-08-17 20:11:12.620
-0.024435,-0.006109,0.003665,3773655830432,2025-08-17 20:11:12.644
-0.035430,-0.008552,-0.002443,3773685798694,2025-08-17 20:11:12.695
-0.034208,-0.004887,-0.004887,3773715736438,2025-08-17 20:11:12.711
-0.014661,0.003665,-0.006109,3773805702258,2025-08-17 20:11:12.796
-0.002443,0.004887,-0.004887,3773835670520,2025-08-17 20:11:12.826
-0.013439,0.001222,-0.004887,3773865608264,2025-08-17 20:11:12.862
-0.013439,-0.002443,-0.003665,3773895576526,2025-08-17 20:11:12.882
-0.014661,-0.002443,-0.004887,3774045417834,2025-08-17 20:11:13.044
-0.014661,-0.001222,-0.006109,3774075355578,2025-08-17 20:11:13.063
-0.014661,0.000000,-0.004887,3774105293322,2025-08-17 20:11:13.102
-0.014661,0.000000,-0.004887,3774135292102,2025-08-17 20:11:13.122
-0.008552,0.004887,-0.003665,3774225166369,2025-08-17 20:11:13.216
-0.012217,-0.001222,-0.007330,3774255134631,2025-08-17 20:11:13.241
0.001222,0.007330,-0.007330,3774285133410,2025-08-17 20:11:13.454
-0.001222,0.003665,-0.006109,3774315132190,2025-08-17 20:11:13.459
-0.010996,0.001222,-0.004887,3774345100451,2025-08-17 20:11:13.490
-0.008552,0.008552,-0.006109,3774375099231,2025-08-17 20:11:13.494
-0.009774,0.003665,-0.002443,3774405098010,2025-08-17 20:11:13.507
-0.021991,0.006109,0.000000,3774435096789,2025-08-17 20:11:13.508
-0.040317,0.026878,-0.007330,3774644874621,2025-08-17 20:11:13.629
-0.034208,0.024435,-0.008552,3774674842883,2025-08-17 20:11:13.657
0.251676,-0.329867,0.031765,3774884742785,2025-08-17 20:11:13.874
0.529009,-0.350637,0.050091,3774914711047,2025-08-17 20:11:13.897
0.464258,-0.386067,0.072082,3774944740344,2025-08-17 20:11:13.931
0.246790,-0.332311,0.122173,3774974739123,2025-08-17 20:11:13.958
0.047647,-0.364076,0.182038,3775004676867,2025-08-17 20:11:13.992
0.561996,-0.671952,0.409280,3775034706164,2025-08-17 20:11:14.018
2.563190,0.403171,0.130725,3775244606067,2025-08-17 20:11:14.229
2.609616,0.529009,0.265116,3775274635363,2025-08-17 20:11:14.258
2.508213,0.620639,0.400728,3775304634143,2025-08-17 20:11:14.293
2.109929,0.664621,0.505796,3775334602404,2025-08-17 20:11:14.317
1.312139,0.555887,0.519235,3775364631701,2025-08-17 20:11:14.350
