x(rad),y(rad),z(rad),internal_ts,watch_timestamp
-0.001222,0.001222,0.001222,22631104060825,2025-04-23 17:24:03.664
0.001222,-0.003665,0.000000,22631133998570,2025-04-23 17:24:03.687
-0.002443,0.006109,0.000000,22631164027866,2025-04-23 17:24:03.723
0.000000,-0.004887,0.000000,22631193935093,2025-04-23 17:24:03.746
0.000000,0.003665,0.001222,22631223903355,2025-04-23 17:24:03.785
0.000000,0.002443,0.000000,22631253841099,2025-04-23 17:24:03.807
-0.001222,-0.003665,0.000000,22631283809361,2025-04-23 17:24:03.843
-0.002443,0.003665,0.000000,22631313747105,2025-04-23 17:24:03.866
0.001222,-0.003665,0.000000,22631343715366,2025-04-23 17:24:03.904
0.000000,0.000000,0.000000,22631373683628,2025-04-23 17:24:03.926
-0.001222,0.003665,0.001222,22631403682408,2025-04-23 17:24:03.965
0.001222,-0.006109,0.000000,22631433681187,2025-04-23 17:24:03.992
0.000000,0.003665,0.000000,22631463618931,2025-04-23 17:24:04.022
-0.002443,0.003665,0.000000,22631493587193,2025-04-23 17:24:04.045
0.002443,-0.004887,0.000000,22631523555454,2025-04-23 17:24:04.084
-0.003665,0.008552,-0.001222,22631553462681,2025-04-23 17:24:04.107
0.001222,-0.008552,0.000000,22631583430943,2025-04-23 17:24:04.144
-0.002443,0.006109,0.000000,22631613429722,2025-04-23 17:24:04.167
-0.001222,-0.002443,0.000000,22631643367466,2025-04-23 17:24:04.203
0.001222,-0.001222,0.000000,22631673366245,2025-04-23 17:24:04.225
-0.001222,0.004887,0.000000,22631703334507,2025-04-23 17:24:04.264
0.002443,-0.004887,0.000000,22631733302769,2025-04-23 17:24:04.285
0.000000,0.003665,0.000000,22631763271031,2025-04-23 17:24:04.321
0.001222,-0.001222,0.000000,22631793269810,2025-04-23 17:24:04.345
0.000000,-0.002443,0.001222,22631823207554,2025-04-23 17:24:04.383
0.000000,0.003665,0.000000,22631853175816,2025-04-23 17:24:04.405
0.000000,0.000000,0.001222,22631883174595,2025-04-23 17:24:04.444
0.000000,-0.002443,0.000000,22631913142857,2025-04-23 17:24:04.466
0.000000,0.006109,0.000000,22631943111118,2025-04-23 17:24:04.501
0.002443,-0.007330,0.000000,22631973079380,2025-04-23 17:24:04.524
-0.001222,0.006109,0.000000,22632003047642,2025-04-23 17:24:04.567
0.001222,-0.004887,0.000000,22632033015904,2025-04-23 17:24:04.586
0.001222,0.000000,0.000000,22632063014683,2025-04-23 17:24:04.624
-0.001222,0.002443,0.000000,22632092982945,2025-04-23 17:24:04.651
-0.001222,-0.002443,0.000000,22632122920689,2025-04-23 17:24:04.682
-0.001222,0.002443,0.000000,22632152888950,2025-04-23 17:24:04.706
0.002443,0.000000,0.000000,22632182887730,2025-04-23 17:24:04.743
0.001222,0.001222,0.000000,22632212855991,2025-04-23 17:24:04.770
0.001222,-0.001222,0.000000,22632242793736,2025-04-23 17:24:04.804
0.001222,0.001222,0.001222,22632272761997,2025-04-23 17:24:04.825
0.001222,-0.002443,0.000000,22632302730259,2025-04-23 17:24:04.864
-0.001222,0.003665,0.000000,22632332698521,2025-04-23 17:24:04.883
0.000000,-0.007330,0.001222,22632362666783,2025-04-23 17:24:04.919
-0.001222,0.004887,0.000000,22632392665562,2025-04-23 17:24:04.943
0.001222,-0.002443,0.000000,22632422664341,2025-04-23 17:24:04.983
0.001222,0.000000,0.000000,22632452663120,2025-04-23 17:24:05.004
-0.002443,0.007330,0.000000,22632482600865,2025-04-23 17:24:05.045
0.002443,-0.006109,0.000000,22632512569126,2025-04-23 17:24:05.064
-0.001222,0.007330,0.000000,22632542567906,2025-04-23 17:24:05.103
0.001222,-0.004887,0.000000,22632572566685,2025-04-23 17:24:05.126
0.000000,0.000000,0.000000,22632602534947,2025-04-23 17:24:05.160
-0.001222,0.002443,0.000000,22632632503208,2025-04-23 17:24:05.184
0.001222,-0.004887,0.000000,22632662471470,2025-04-23 17:24:05.222
-0.001222,0.008552,0.000000,22632692470249,2025-04-23 17:24:05.245
0.002443,-0.004887,0.000000,22632722377476,2025-04-23 17:24:05.282
-0.001222,0.002443,0.000000,22632752345738,2025-04-23 17:24:05.305
0.000000,-0.002443,0.000000,22632782313999,2025-04-23 17:24:05.342
-0.002443,0.004887,0.000000,22632812282261,2025-04-23 17:24:05.365
0.001222,-0.006109,0.000000,22632842220005,2025-04-23 17:24:05.403
-0.003665,0.009774,0.000000,22632872188267,2025-04-23 17:24:05.424
0.002443,-0.008552,0.000000,22632902187046,2025-04-23 17:24:05.466
