x(rad),y(rad),z(rad),internal_ts,watch_timestamp
0.012217,-0.017104,-0.010996,3336609068567,2025-08-17 20:03:55.593
-0.002443,-0.001222,-0.007330,3336639006311,2025-08-17 20:03:55.612
-0.029322,-0.012217,-0.007330,3336788878137,2025-08-17 20:03:55.772
-0.024435,0.003665,0.002443,3336818876916,2025-08-17 20:03:55.793
-0.008552,0.007330,-0.006109,3336848845178,2025-08-17 20:03:55.836
-0.008552,-0.001222,-0.019548,3336878813440,2025-08-17 20:03:55.856
-0.001222,0.001222,-0.015882,3337028746301,2025-08-17 20:03:56.015
-0.003665,0.015882,0.001222,3337058714563,2025-08-17 20:03:56.039
-0.012217,0.007330,-0.003665,3337268400842,2025-08-17 20:03:56.256
-0.032987,0.008552,-0.007330,3337298369104,2025-08-17 20:03:56.277
0.002443,-0.013439,0.004887,3337448149377,2025-08-17 20:03:56.434
0.014661,0.001222,0.009774,3337478117639,2025-08-17 20:03:56.455
0.594983,-0.623083,1.222952,3337627989465,2025-08-17 20:03:56.608
-3.863112,0.833220,1.532050,3337657957727,2025-08-17 20:03:56.631
1.321912,1.233948,0.387289,3337687925988,2025-08-17 20:03:56.671
6.552141,0.741590,-0.522901,3337717924768,2025-08-17 20:03:56.690
2.459343,3.411072,-1.706758,3337807768518,2025-08-17 20:03:56.788
0.759916,1.530828,-1.291369,3337837736779,2025-08-17 20:03:56.809
-2.324953,1.152092,-0.351858,3337867705041,2025-08-17 20:03:56.854
-2.516765,1.954769,0.257785,3337897673303,2025-08-17 20:03:56.872
0.184481,2.923601,1.996308,3338047545129,2025-08-17 20:03:57.036
0.709825,3.262020,1.907121,3338077513391,2025-08-17 20:03:57.050
0.175929,1.398881,1.290147,3338227415735,2025-08-17 20:03:57.211
-0.788016,1.711644,0.801455,3338257383996,2025-08-17 20:03:57.230
-1.979203,2.599843,0.800233,3338287352258,2025-08-17 20:03:57.277
-2.217441,3.204599,1.320691,3338317320520,2025-08-17 20:03:57.297
5.885076,2.417805,0.924850,3338467161828,2025-08-17 20:03:57.447
1.375669,-1.314582,-1.004262,3338497130090,2025-08-17 20:03:57.469
-0.875981,2.131920,1.694540,3338646940881,2025-08-17 20:03:57.618
-3.086091,2.588847,2.393370,3338676909143,2025-08-17 20:03:57.646
0.230907,-0.981050,0.631635,3338886625940,2025-08-17 20:03:57.874
0.945619,-0.032987,0.621861,3338916624719,2025-08-17 20:03:57.891
0.213803,-0.031765,1.078788,3339066435510,2025-08-17 20:03:58.038
0.709825,-0.502131,0.404393,3339096434289,2025-08-17 20:03:58.070
-2.759889,1.242500,-1.490511,3339246275598,2025-08-17 20:03:58.224
0.702495,-0.158825,-1.765401,3339276243860,2025-08-17 20:03:58.249
-1.343904,1.114218,-1.180192,3339306242639,2025-08-17 20:03:58.289
-1.014036,1.230283,-1.373225,3339336210901,2025-08-17 20:03:58.308
-0.575435,0.741590,-0.537561,3339486021692,2025-08-17 20:03:58.466
-1.130101,-0.098960,-0.559553,3339515989953,2025-08-17 20:03:58.487
-0.579100,-0.883311,-1.709201,3339665892297,2025-08-17 20:03:58.650
-0.742812,-0.207694,-0.883311,3339695891076,2025-08-17 20:03:58.671
1.330464,0.862542,-0.842994,3339725859338,2025-08-17 20:03:58.712
1.574811,0.561996,-0.807564,3339755827600,2025-08-17 20:03:58.732
-0.113621,-0.158825,-0.263894,3339845732385,2025-08-17 20:03:58.827
-0.079412,-0.096517,-0.294437,3339875761682,2025-08-17 20:03:58.855
-0.015882,0.290772,-0.438601,3339905790979,2025-08-17 20:03:58.885
0.246790,0.762360,-0.467923,3339935789758,2025-08-17 20:03:58.911
-0.274889,1.698205,0.801455,3340085631067,2025-08-17 20:03:59.062
-0.728151,2.216219,1.183857,3340115660363,2025-08-17 20:03:59.088
-0.825890,2.064724,1.795944,3340145628625,2025-08-17 20:03:59.129
-0.695165,1.584584,1.800831,3340175596887,2025-08-17 20:03:59.150
-3.078761,-0.819781,0.131947,3340325438196,2025-08-17 20:03:59.311
-2.792876,-0.386067,0.094073,3340355436975,2025-08-17 20:03:59.332
-0.256563,-0.616974,-0.153938,3340505217248,2025-08-17 20:03:59.491
-0.237016,-0.259007,-0.642630,3340535185510,2025-08-17 20:03:59.515
-0.825890,1.061684,-0.101404,3340685026819,2025-08-17 20:03:59.669
-0.752586,0.619417,-0.179594,3340715056115,2025-08-17 20:03:59.687
-0.346971,0.590096,-0.129503,3340745024377,2025-08-17 20:03:59.726
0.100182,0.250455,-0.289550,3340774992639,2025-08-17 20:03:59.747
-0.621861,-0.219911,0.025656,3340924803430,2025-08-17 20:03:59.910
-0.667065,-0.320093,0.184481,3340954771692,2025-08-17 20:03:59.931
-0.646295,-0.367741,0.673173,3341104674035,2025-08-17 20:04:00.084
-0.850324,-0.368963,0.643852,3341134642297,2025-08-17 20:04:00.119
-0.891863,-0.315206,0.527788,3341164580041,2025-08-17 20:04:00.136
-0.707382,-0.279776,0.406836,3341194609338,2025-08-17 20:04:00.164
-0.188147,0.054978,0.026878,3341344572717,2025-08-17 20:04:00.316
-0.017104,0.031765,0.068417,3341374602014,2025-08-17 20:04:00.345
0.045204,-0.015882,0.241903,3341524443322,2025-08-17 20:04:00.503
0.047647,-0.012217,0.251676,3341554411584,2025-08-17 20:04:00.528
0.117286,-0.032987,0.296881,3341584379846,2025-08-17 20:04:00.572
0.222355,0.030543,0.356745,3341614409143,2025-08-17 20:04:00.591
-0.102625,0.020769,0.185703,3341704344446,2025-08-17 20:04:00.683
-0.029322,-0.002443,0.059865,3341734404260,2025-08-17 20:04:00.706
-0.090408,-0.040317,0.091630,3341764372522,2025-08-17 20:04:00.748
