x(rad),y(rad),z(rad),internal_ts,watch_timestamp
0.000000,0.000000,0.000000,19821702431139,2025-04-23 16:37:14.229
0.001222,0.000000,0.000000,19821732429918,2025-04-23 16:37:14.264
0.002443,-0.001222,0.000000,19821762367662,2025-04-23 16:37:14.285
0.001222,0.000000,-0.001222,19821792396959,2025-04-23 16:37:14.323
0.001222,0.000000,0.000000,19821822395738,2025-04-23 16:37:14.350
0.001222,0.001222,0.000000,19821852364000,2025-04-23 16:37:14.384
0.002443,0.000000,0.000000,19821882332262,2025-04-23 16:37:14.408
0.002443,0.000000,0.000000,19821912300524,2025-04-23 16:37:14.441
0.001222,0.001222,0.000000,19822002205309,2025-04-23 16:37:14.525
0.000000,0.000000,0.000000,19822032173570,2025-04-23 16:37:14.564
0.001222,0.000000,0.000000,19822062080797,2025-04-23 16:37:14.587
0.000000,0.001222,0.000000,19822092018541,2025-04-23 16:37:14.624
0.001222,0.000000,0.000000,19822121956285,2025-04-23 16:37:14.647
-0.001222,0.001222,-0.001222,19822151894029,2025-04-23 16:37:14.684
0.000000,0.000000,0.000000,19822181953844,2025-04-23 16:37:14.705
0.000000,0.001222,0.000000,19822211952623,2025-04-23 16:37:14.746
-0.001222,-0.001222,0.000000,19822241920885,2025-04-23 16:37:14.769
-0.001222,0.001222,0.000000,19822271858629,2025-04-23 16:37:14.805
0.162490,-0.623083,0.015882,19822361793932,2025-04-23 16:37:14.885
0.122173,0.039095,0.001222,19822391731676,2025-04-23 16:37:14.924
-0.627969,-0.587652,-0.001222,19822481697496,2025-04-23 16:37:15.004
-0.970054,-1.387886,0.003665,19822511635240,2025-04-23 16:37:15.050
0.393397,0.783129,0.032987,19822541572985,2025-04-23 16:37:15.099
-0.262672,-0.434936,-0.004887,19822571510729,2025-04-23 16:37:15.103
0.068417,0.572992,0.012217,19822601509508,2025-04-23 16:37:15.121
0.018326,-0.169821,-0.003665,19822631447252,2025-04-23 16:37:15.154
-0.162490,-0.013439,0.001222,19822661476549,2025-04-23 16:37:15.181
0.125838,0.266337,0.002443,19822691414293,2025-04-23 16:37:15.218
0.010996,-0.153938,0.000000,19822781319078,2025-04-23 16:37:15.300
-0.040317,-0.018326,0.000000,19822811287340,2025-04-23 16:37:15.335
-0.010996,-0.030543,0.000000,19822841255602,2025-04-23 16:37:15.360
-0.001222,-0.083078,0.000000,19822871254381,2025-04-23 16:37:15.395
-0.019548,-0.074526,0.000000,19822901253160,2025-04-23 16:37:15.420
0.026878,0.000000,0.000000,19822931221422,2025-04-23 16:37:15.455
0.002443,0.000000,0.000000,19823140999254,2025-04-23 16:37:15.662
-0.001222,-0.001222,0.000000,19823170998033,2025-04-23 16:37:15.697
0.000000,0.001222,0.000000,19823260902819,2025-04-23 16:37:15.781
0.002443,0.000000,0.000000,19823290840563,2025-04-23 16:37:15.819
0.001222,0.001222,0.000000,19823320869860,2025-04-23 16:37:15.841
-0.001222,0.001222,0.000000,19823350807604,2025-04-23 16:37:15.877
0.001222,0.000000,0.000000,19823380775865,2025-04-23 16:37:15.901
0.001222,-0.001222,0.000000,19823410774645,2025-04-23 16:37:15.937
1.210735,-0.724486,-0.018326,19823440712389,2025-04-23 16:37:15.962
-1.209513,0.944398,-0.002443,19823470650133,2025-04-23 16:37:15.997
0.217468,-0.331089,0.000000,19823500587877,2025-04-23 16:37:16.022
-0.847881,1.384221,0.108734,19823530525621,2025-04-23 16:37:16.061
-0.017104,0.232129,-0.037874,19823560463365,2025-04-23 16:37:16.084
0.459371,-0.456927,0.045204,19823590401110,2025-04-23 16:37:16.129
0.458149,-0.328645,0.109956,19823620369371,2025-04-23 16:37:16.147
0.124617,-0.357967,0.248011,19823650307115,2025-04-23 16:37:16.182
0.372628,-1.343904,0.613309,19823680275377,2025-04-23 16:37:16.206
0.658513,-2.043955,0.124617,19823710213121,2025-04-23 16:37:16.248
0.723264,-1.791057,-0.094073,19823740181383,2025-04-23 16:37:16.275
1.011593,-0.752586,-0.204029,19823770119127,2025-04-23 16:37:16.306
0.763582,0.052534,-0.497244,19823800087389,2025-04-23 16:37:16.333
0.927293,-0.105069,-0.935846,19823830086168,2025-04-23 16:37:16.360
1.171640,-0.219911,-1.139875,19823860054430,2025-04-23 16:37:16.385
1.081231,-0.057421,-1.481959,19823890022692,2025-04-23 16:37:16.428
1.034806,-0.337198,-1.241278,19823920021471,2025-04-23 16:37:16.448
1.370782,-1.367116,-0.291994,19823949959215,2025-04-23 16:37:16.481
1.594358,-2.296853,1.295034,19823979927477,2025-04-23 16:37:16.506
0.057421,-2.897945,1.698205,19824009926256,2025-04-23 16:37:16.545
-0.995710,-2.530204,1.529607,19824039894518,2025-04-23 16:37:16.570
0.654848,-0.929737,0.113621,19824069832262,2025-04-23 16:37:16.603
0.685391,-0.823446,-0.999376,19824099831041,2025-04-23 16:37:16.628
0.742812,-0.927293,-1.931556,19824129799303,2025-04-23 16:37:16.665
-0.324980,-0.941954,-2.608395,19824159737047,2025-04-23 16:37:16.691
-0.796568,-2.010968,-1.398881,19824189674791,2025-04-23 16:37:16.726
1.242500,-3.808134,1.662775,19824219643053,2025-04-23 16:37:16.756
2.463009,-2.950479,2.313957,19824249580797,2025-04-23 16:37:16.787
-0.433714,-0.662178,-2.045177,19824339485582,2025-04-23 16:37:16.865
-2.345722,0.689056,-2.343279,19824369423326,2025-04-23 16:37:16.895
-1.847257,1.288926,-0.807564,19824399391588,2025-04-23 16:37:16.924
-0.432493,0.233351,1.742188,19824429420885,2025-04-23 16:37:16.958
0.156382,-0.256563,2.434909,19824459358629,2025-04-23 16:37:16.980
-1.479516,-0.359189,1.632232,19824489326891,2025-04-23 16:37:17.018
-0.918741,1.980425,-0.585209,19824579323229,2025-04-23 16:37:17.098
-1.221730,1.758070,0.144164,19824609352526,2025-04-23 16:37:17.133
-1.083675,1.170418,0.722043,19824639290270,2025-04-23 16:37:17.158
-1.145983,0.624304,0.955393,19824669228014,2025-04-23 16:37:17.192
-1.115440,0.514349,0.553444,19824699226793,2025-04-23 16:37:17.218
-1.781283,1.222952,0.162490,19824729195055,2025-04-23 16:37:17.254
