x(rad),y(rad),z(rad),internal_ts,watch_timestamp
-0.031765,0.000000,0.004887,3592168458996,2025-08-17 20:08:11.157
-0.023213,0.003665,-0.001222,3592198427258,2025-08-17 20:08:11.180
-0.014661,0.007330,0.002443,3592228365002,2025-08-17 20:08:11.222
0.001222,-0.003665,0.001222,3592258394299,2025-08-17 20:08:11.239
-0.010996,-0.010996,-0.010996,3592408296643,2025-08-17 20:08:11.400
-0.046426,-0.014661,-0.014661,3592438264904,2025-08-17 20:08:11.421
-0.008552,-0.015882,-0.014661,3592468263684,2025-08-17 20:08:11.467
0.014661,-0.010996,0.001222,3592498170910,2025-08-17 20:08:11.479
0.003665,0.001222,0.008552,3592588045178,2025-08-17 20:08:11.567
0.019548,0.003665,-0.001222,3592618043957,2025-08-17 20:08:11.600
0.014661,-0.010996,-0.010996,3592648012219,2025-08-17 20:08:11.667
0.023213,-0.007330,-0.015882,3592678041516,2025-08-17 20:08:11.668
0.031765,0.002443,-0.013439,3592708009778,2025-08-17 20:08:11.783
0.021991,-0.002443,-0.006109,3592737978039,2025-08-17 20:08:11.785
0.030543,0.002443,-0.006109,3592767946301,2025-08-17 20:08:11.795
0.009774,0.010996,-0.008552,3592797975598,2025-08-17 20:08:11.796
-0.001222,0.013439,-0.001222,3593187746106,2025-08-17 20:08:12.174
-0.010996,0.020769,-0.004887,3593217714367,2025-08-17 20:08:12.195
-0.003665,0.023213,-0.008552,3593247652112,2025-08-17 20:08:12.231
0.008552,0.015882,-0.008552,3593277620373,2025-08-17 20:08:12.259
0.036652,0.029322,0.001222,3593307619153,2025-08-17 20:08:12.297
0.048869,0.030543,-0.001222,3593337556897,2025-08-17 20:08:12.319
0.080634,0.014661,-0.010996,3593427492199,2025-08-17 20:08:12.419
0.096517,0.021991,-0.019548,3593457521496,2025-08-17 20:08:12.439
0.085521,0.041539,-0.036652,3593607423840,2025-08-17 20:08:12.596
0.091630,0.029322,-0.012217,3593637392102,2025-08-17 20:08:12.620
0.036652,0.015882,-0.013439,3593667360363,2025-08-17 20:08:12.657
-0.018326,-0.003665,-0.015882,3593697328625,2025-08-17 20:08:12.679
0.000000,-0.006109,-0.023213,3593727357922,2025-08-17 20:08:12.719
-0.091630,-0.019548,-0.042761,3593757326184,2025-08-17 20:08:12.738
-0.047647,0.226020,0.046426,3594027010022,2025-08-17 20:08:13.017
-0.036652,0.238237,0.052534,3594056978283,2025-08-17 20:08:13.038
-0.012217,0.229685,0.079412,3594086946545,2025-08-17 20:08:13.081
0.020769,0.195477,0.094073,3594116945324,2025-08-17 20:08:13.099
0.043982,0.157603,0.109956,3594146974621,2025-08-17 20:08:13.141
0.070860,0.123395,0.118508,3594176973401,2025-08-17 20:08:13.158
-1.350012,0.017104,-0.394619,3594206911145,2025-08-17 20:08:13.191
0.658513,-0.177151,0.185703,3594236848889,2025-08-17 20:08:13.219
0.023213,0.002443,-0.067195,3594446565686,2025-08-17 20:08:13.431
-0.031765,0.002443,-0.062308,3594476564465,2025-08-17 20:08:13.460
-0.039095,0.000000,-0.061087,3594506471692,2025-08-17 20:08:13.485
-0.017104,-0.004887,-0.045204,3594536439953,2025-08-17 20:08:13.521
