x(rad),y(rad),z(rad),internal_ts,watch_timestamp
-0.001222,0.000000,0.000000,20324770149645,2025-04-23 16:45:37.308
0.000000,0.000000,0.000000,20324800148424,2025-04-23 16:45:37.337
0.001222,0.000000,0.000000,20324890114244,2025-04-23 16:45:37.414
0.000000,0.000000,0.000000,20324920143541,2025-04-23 16:45:37.457
0.000000,0.000000,0.000000,20324950081285,2025-04-23 16:45:37.484
0.001222,0.000000,0.000000,20324980049547,2025-04-23 16:45:37.511
0.000000,0.000000,0.000000,20325010078844,2025-04-23 16:45:37.537
0.000000,0.000000,0.000000,20325040077623,2025-04-23 16:45:37.576
0.000000,0.000000,0.001222,20325070015367,2025-04-23 16:45:37.603
0.001222,0.000000,0.000000,20325100014147,2025-04-23 16:45:37.636
0.001222,0.000000,-0.001222,20325130012926,2025-04-23 16:45:37.659
0.000000,0.000000,0.000000,20325159981188,2025-04-23 16:45:37.697
0.000000,0.000000,0.000000,20325189918932,2025-04-23 16:45:37.725
0.000000,0.000000,0.000000,20325219887194,2025-04-23 16:45:37.755
0.001222,0.000000,0.001222,20325249824938,2025-04-23 16:45:37.780
0.000000,0.000000,0.000000,20325279823717,2025-04-23 16:45:37.814
0.000000,0.001222,0.000000,20325309853014,2025-04-23 16:45:37.841
0.001222,0.000000,0.000000,20325339790758,2025-04-23 16:45:37.877
0.000000,0.000000,0.000000,20325369820055,2025-04-23 16:45:37.903
0.001222,0.000000,0.000000,20325399818834,2025-04-23 16:45:37.936
0.001222,0.000000,0.000000,20325429787096,2025-04-23 16:45:37.963
0.001222,0.000000,0.000000,20325459785875,2025-04-23 16:45:37.991
0.000000,0.000000,0.000000,20325489784654,2025-04-23 16:45:38.015
0.000000,0.000000,0.000000,20325519752916,2025-04-23 16:45:38.056
0.000000,0.001222,-0.001222,20325549660143,2025-04-23 16:45:38.083
0.001222,0.000000,0.000000,20325579658922,2025-04-23 16:45:38.111
0.000000,0.000000,0.000000,20325609627184,2025-04-23 16:45:38.137
0.001222,0.001222,0.000000,20325639625963,2025-04-23 16:45:38.175
0.000000,0.001222,0.000000,20325729530748,2025-04-23 16:45:38.253
0.000000,-0.001222,0.000000,20325759468492,2025-04-23 16:45:38.293
0.000000,0.000000,0.000000,20325789467272,2025-04-23 16:45:38.319
0.000000,0.000000,0.000000,20325819466051,2025-04-23 16:45:38.356
0.000000,0.000000,0.000000,20325849403795,2025-04-23 16:45:38.383
0.000000,0.000000,0.000000,20325879372057,2025-04-23 16:45:38.413
0.000000,0.000000,0.000000,20325909340319,2025-04-23 16:45:38.436
0.000000,0.000000,0.000000,20325939339098,2025-04-23 16:45:38.476
0.000000,0.001222,0.000000,20325969368395,2025-04-23 16:45:38.490
-0.001222,0.001222,0.000000,20325999397692,2025-04-23 16:45:38.524
0.000000,0.001222,0.000000,20326029396471,2025-04-23 16:45:38.552
0.000000,0.000000,0.001222,20326059334215,2025-04-23 16:45:38.586
-0.001222,0.000000,0.000000,20326089302477,2025-04-23 16:45:38.610
0.000000,0.000000,0.000000,20326119301256,2025-04-23 16:45:38.649
0.001222,0.000000,0.000000,20326149269518,2025-04-23 16:45:38.672
0.000000,0.000000,0.000000,20326179237779,2025-04-23 16:45:38.713
0.000000,0.001222,0.000000,20326209236559,2025-04-23 16:45:38.740
0.000000,0.000000,0.000000,20326239265856,2025-04-23 16:45:38.771
