x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
-0.045490,-0.057461,-0.021548,17980633791491,2025-04-23 16:06:33.166
-0.055067,-0.031125,0.019154,17980663790270,2025-04-23 16:06:33.201
0.052672,-0.071826,0.035913,17980693758532,2025-04-23 16:06:33.227
0.055067,-0.007183,-0.009577,17980723726793,2025-04-23 16:06:33.254
-0.035913,-0.026336,0.028730,17980753756090,2025-04-23 16:06:33.283
-0.004788,0.016759,0.040701,17980783693834,2025-04-23 16:06:33.310
-0.062249,0.014365,0.026336,17980873568102,2025-04-23 16:06:33.407
-0.031125,0.000000,0.023942,17980903505846,2025-04-23 16:06:33.433
-0.007183,0.028730,0.043096,17980933504625,2025-04-23 16:06:33.468
0.000000,-0.011971,-0.052672,17980963472887,2025-04-23 16:06:33.502
0.000000,-0.021548,-0.014365,17980993441149,2025-04-23 16:06:33.524
-0.033519,0.000000,0.009577,17981023378893,2025-04-23 16:06:33.555
0.002394,-0.002394,0.016759,17981113253160,2025-04-23 16:06:33.646
-0.009577,-0.007183,-0.007183,17981143221422,2025-04-23 16:06:33.674
-0.016759,-0.052672,0.004788,17981173189684,2025-04-23 16:06:33.702
-0.004788,0.016759,-0.002394,17981203127428,2025-04-23 16:06:33.734
0.004788,0.002394,-0.050278,17981233095690,2025-04-23 16:06:33.760
-0.023942,0.002394,-0.035913,17981263033434,2025-04-23 16:06:33.791
-0.014365,0.040701,0.031125,17981293001696,2025-04-23 16:06:33.821
-0.045490,0.014365,0.011971,17981323000475,2025-04-23 16:06:33.851
0.026336,-0.045490,-0.050278,17981352968737,2025-04-23 16:06:33.879
-0.026336,0.011971,0.026336,17981382936998,2025-04-23 16:06:33.911
0.045490,-0.026336,-0.040701,17981412874743,2025-04-23 16:06:33.945
0.009577,-0.007183,-0.021548,17981442843004,2025-04-23 16:06:33.973
0.019154,-0.064643,-0.004788,17981652529284,2025-04-23 16:06:34.181
-0.028730,0.021548,0.038307,17981682528063,2025-04-23 16:06:34.211
-0.047884,0.076614,0.038307,17981712496325,2025-04-23 16:06:34.244
0.045490,0.023942,-0.023942,17981742434069,2025-04-23 16:06:34.280
0.009577,0.014365,0.000000,17981772432848,2025-04-23 16:06:34.293
0.016759,0.064643,-0.009577,17981802401110,2025-04-23 16:06:34.342
0.007183,-0.011971,0.000000,17981832369371,2025-04-23 16:06:34.363
0.057461,0.007183,0.004788,17981862337633,2025-04-23 16:06:34.392
0.031125,-0.004788,0.045490,17981892305895,2025-04-23 16:06:34.421
-0.064643,-0.057461,-0.035913,17981922274157,2025-04-23 16:06:34.453
0.021548,0.079009,-0.007183,17981952272936,2025-04-23 16:06:34.485
0.011971,0.016759,0.071826,17981982241198,2025-04-23 16:06:34.511
0.040701,0.064643,0.007183,17982012178942,2025-04-23 16:06:34.541
0.004788,-0.007183,0.035913,17982042147203,2025-04-23 16:06:34.582
0.031125,0.002394,0.007183,17982072176500,2025-04-23 16:06:34.605
0.047884,0.019154,-0.026336,17982102144762,2025-04-23 16:06:34.630
-0.011971,-0.028730,0.002394,17982132143541,2025-04-23 16:06:34.662
0.045490,-0.028730,0.007183,17982162142321,2025-04-23 16:06:34.690
-0.004788,-0.021548,-0.035913,17982252016588,2025-04-23 16:06:34.783
0.035913,-0.038307,-0.047884,17982281984850,2025-04-23 16:06:34.810
0.026336,0.043096,-0.038307,17982311953112,2025-04-23 16:06:34.839
-0.023942,0.019154,-0.002394,17982341921373,2025-04-23 16:06:34.875
-0.009577,0.033519,-0.031125,17982371889635,2025-04-23 16:06:34.897
0.031125,0.083797,0.028730,17982401918932,2025-04-23 16:06:34.931
0.016759,0.007183,0.026336,17982431856676,2025-04-23 16:06:34.961
-0.026336,0.000000,0.014365,17982461794420,2025-04-23 16:06:34.992
-0.083797,-0.040701,-0.019154,17982551729723,2025-04-23 16:06:35.088
0.004788,-0.002394,-0.011971,17982581667467,2025-04-23 16:06:35.107
-0.026336,0.011971,-0.038307,17982611635729,2025-04-23 16:06:35.138
-0.007183,0.016759,0.035913,17982641603991,2025-04-23 16:06:35.176
0.016759,-0.040701,-0.014365,17982671633287,2025-04-23 16:06:35.196
-0.007183,0.014365,0.035913,17982701601549,2025-04-23 16:06:35.231
0.033519,0.023942,-0.023942,17982731508776,2025-04-23 16:06:35.260
0.009577,0.059855,0.009577,17982761507555,2025-04-23 16:06:35.298
0.002394,0.016759,0.002394,17982851442858,2025-04-23 16:06:35.374
-0.043096,-0.023942,0.035913,17982881411119,2025-04-23 16:06:35.411
0.031125,-0.002394,-0.004788,17982911379381,2025-04-23 16:06:35.438
0.019154,0.000000,-0.014365,17982941317125,2025-04-23 16:06:35.472
0.009577,0.023942,0.043096,17982971346422,2025-04-23 16:06:35.498
-0.031125,0.011971,-0.019154,17983001314684,2025-04-23 16:06:35.530
0.057461,-0.002394,0.014365,17983031252428,2025-04-23 16:06:35.558
0.055067,0.033519,0.014365,17983061251207,2025-04-23 16:06:35.591
0.004788,0.050278,-0.038307,17983091249987,2025-04-23 16:06:35.618
0.002394,-0.040701,-0.021548,17983121248766,2025-04-23 16:06:35.650
0.009577,0.002394,0.004788,17983151247545,2025-04-23 16:06:35.678
-0.033519,0.014365,-0.023942,17983181154772,2025-04-23 16:06:35.709
-0.016759,-0.007183,0.023942,17983211123034,2025-04-23 16:06:35.738
0.021548,0.007183,-0.038307,17983241091295,2025-04-23 16:06:35.782
0.011971,-0.067038,0.071826,17983271120592,2025-04-23 16:06:35.806
-0.019154,-0.007183,-0.059855,17983301058336,2025-04-23 16:06:35.829
-0.064643,-0.088585,0.071826,17983330996080,2025-04-23 16:06:35.858
-0.040701,-0.023942,-0.021548,17983360964342,2025-04-23 16:06:35.895
-0.026336,0.004788,0.031125,17983450960680,2025-04-23 16:06:35.978
-0.011971,-0.021548,0.038307,17983480959459,2025-04-23 16:06:36.015
0.062249,-0.002394,-0.045490,17983510927721,2025-04-23 16:06:36.037
-0.033519,0.021548,0.007183,17983540865465,2025-04-23 16:06:36.070
0.014365,0.028730,-0.064643,17983570833727,2025-04-23 16:06:36.096
-0.062249,-0.019154,0.002394,17983600832506,2025-04-23 16:06:36.130
0.026336,-0.035913,0.000000,17983630770250,2025-04-23 16:06:36.160
-0.038307,0.064643,-0.009577,17983660769030,2025-04-23 16:06:36.189
0.011971,0.052672,-0.002394,17983690767809,2025-04-23 16:06:36.218
0.007183,0.002394,0.035913,17983720736071,2025-04-23 16:06:36.250
0.028730,0.043096,-0.019154,17983750734850,2025-04-23 16:06:36.284
0.016759,0.028730,0.007183,17983780672594,2025-04-23 16:06:36.309
0.021548,-0.016759,0.000000,17983870577379,2025-04-23 16:06:36.394
0.014365,-0.033519,-0.033519,17983900515123,2025-04-23 16:06:36.420
-0.026336,0.047884,0.007183,17983930483385,2025-04-23 16:06:36.452
-0.016759,-0.014365,-0.007183,17983960451647,2025-04-23 16:06:36.491
-0.059855,-0.043096,0.002394,17983990419909,2025-04-23 16:06:36.516
0.000000,0.009577,-0.023942,17984020388170,2025-04-23 16:06:36.549
0.045490,-0.045490,0.009577,17984050356432,2025-04-23 16:06:36.579
-0.035913,0.043096,-0.021548,17984080324694,2025-04-23 16:06:36.609
-0.026336,-0.007183,-0.019154,17984170259996,2025-04-23 16:06:36.703
0.021548,0.057461,-0.004788,17984200228258,2025-04-23 16:06:36.728
0.064643,0.007183,0.002394,17984230196520,2025-04-23 16:06:36.759
-0.009577,-0.011971,0.052672,17984260225817,2025-04-23 16:06:36.789
-0.023942,0.016759,0.019154,17984290194078,2025-04-23 16:06:36.815
0.062249,-0.035913,-0.040701,17984320131823,2025-04-23 16:06:36.849
0.047884,-0.014365,0.033519,17984410128160,2025-04-23 16:06:36.942
0.011971,-0.002394,-0.052672,17984440035387,2025-04-23 16:06:36.977
-0.026336,-0.019154,0.038307,17984470034166,2025-04-23 16:06:36.999
0.021548,0.021548,-0.038307,17984499971910,2025-04-23 16:06:37.033
-0.004788,0.014365,0.009577,17984529940172,2025-04-23 16:06:37.058
-0.090980,-0.026336,-0.040701,17984559908434,2025-04-23 16:06:37.089
-0.002394,0.019154,-0.028730,17984589876696,2025-04-23 16:06:37.126
0.033519,0.019154,0.014365,17984619844957,2025-04-23 16:06:37.149
0.071826,-0.047884,0.007183,17984709780260,2025-04-23 16:06:37.239
-0.009577,0.081403,-0.050278,17984739748522,2025-04-23 16:06:37.271
-0.062249,-0.011971,0.100556,17984829622789,2025-04-23 16:06:37.358
0.016759,0.002394,-0.038307,17984859591051,2025-04-23 16:06:37.390
-0.016759,0.031125,0.019154,17984949556871,2025-04-23 16:06:37.475
0.021548,-0.023942,-0.040701,17984979464098,2025-04-23 16:06:37.509
-0.038307,0.000000,0.023942,17985009432360,2025-04-23 16:06:37.537
0.026336,0.028730,-0.011971,17985039400621,2025-04-23 16:06:37.569
-0.057461,0.045490,0.014365,17985069368883,2025-04-23 16:06:37.597
-0.031125,0.035913,0.031125,17985099337145,2025-04-23 16:06:37.629
-0.033519,0.016759,-0.023942,17985129274889,2025-04-23 16:06:37.653
-0.019154,-0.028730,0.004788,17985159273668,2025-04-23 16:06:37.679
0.016759,-0.023942,-0.079009,17985249208971,2025-04-23 16:06:37.769
