x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
0.004788,0.002394,-0.038307,23316425416001,2025-04-23 17:35:28.981
0.002394,0.033519,-0.057461,23316455384263,2025-04-23 17:35:29.012
0.000000,0.028730,-0.002394,23316545258531,2025-04-23 17:35:29.101
0.000000,-0.004788,-0.038307,23316575196275,2025-04-23 17:35:29.135
0.028730,0.043096,0.000000,23316605134019,2025-04-23 17:35:29.162
-0.081403,0.004788,-0.028730,23316635071763,2025-04-23 17:35:29.192
0.052672,-0.031125,0.000000,23316665009507,2025-04-23 17:35:29.225
0.007183,0.035913,0.014365,23316694947251,2025-04-23 17:35:29.259
0.021548,-0.009577,0.023942,23316724884995,2025-04-23 17:35:29.287
0.040701,-0.014365,0.014365,23316754853257,2025-04-23 17:35:29.316
-0.021548,-0.002394,-0.026336,23316784760484,2025-04-23 17:35:29.341
0.047884,0.057461,-0.023942,23316814728745,2025-04-23 17:35:29.377
0.059855,-0.038307,0.045490,23316844635972,2025-04-23 17:35:29.403
-0.057461,-0.093374,-0.241814,23316874573716,2025-04-23 17:35:29.432
0.000000,0.000000,-0.081403,23316904572495,2025-04-23 17:35:29.457
0.031125,-0.038307,-0.021548,23316934571275,2025-04-23 17:35:29.492
-0.004788,0.011971,-0.021548,23316964570054,2025-04-23 17:35:29.522
-0.038307,-0.011971,-0.033519,23316994477281,2025-04-23 17:35:29.556
0.011971,0.014365,-0.031125,23317024384507,2025-04-23 17:35:29.581
0.000000,-0.023942,-0.007183,23317054322251,2025-04-23 17:35:29.602
0.002394,0.069432,0.000000,23317084290513,2025-04-23 17:35:29.631
-0.038307,0.045490,-0.009577,23317114289292,2025-04-23 17:35:29.660
-0.016759,0.000000,-0.014365,23317144196519,2025-04-23 17:35:29.694
0.011971,0.067038,-0.028730,23317174164781,2025-04-23 17:35:29.732
-0.038307,0.004788,0.028730,23317204163560,2025-04-23 17:35:29.758
-0.021548,0.000000,0.014365,23317234101304,2025-04-23 17:35:29.792
0.040701,-0.004788,0.038307,23317264039048,2025-04-23 17:35:29.823
0.009577,0.057461,0.086191,23317293976792,2025-04-23 17:35:29.857
0.011971,-0.050278,0.004788,23317323914537,2025-04-23 17:35:29.880
0.014365,0.009577,0.007183,23317353852281,2025-04-23 17:35:29.915
0.019154,-0.023942,0.014365,23317383820542,2025-04-23 17:35:29.942
0.028730,-0.071826,0.000000,23317413758287,2025-04-23 17:35:29.971
-0.026336,0.000000,0.016759,23317503602037,2025-04-23 17:35:30.060
-0.028730,0.019154,0.011971,23317533509263,2025-04-23 17:35:30.093
-0.055067,-0.007183,-0.021548,23317563416490,2025-04-23 17:35:30.120
-0.011971,0.011971,0.023942,23317593354234,2025-04-23 17:35:30.152
