x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
0.009577,-0.028730,0.093374,3336579069787,2025-08-17 20:03:55.560
0.021548,-0.098162,-0.090980,3336609068567,2025-08-17 20:03:55.595
0.016759,-0.088585,-0.167594,3336639006311,2025-08-17 20:03:55.623
0.045490,-0.114922,-0.119710,3336669005090,2025-08-17 20:03:55.657
-0.045490,-0.007183,-0.014365,3336818876916,2025-08-17 20:03:55.806
0.102951,-0.100556,-0.129287,3336848845178,2025-08-17 20:03:55.839
-0.026336,-0.055067,0.047884,3336998778039,2025-08-17 20:03:55.989
0.002394,-0.105345,-0.155623,3337028746301,2025-08-17 20:03:56.018
-0.071826,-0.004788,-0.213084,3337058714563,2025-08-17 20:03:56.054
0.047884,-0.095768,-0.016759,3337088682824,2025-08-17 20:03:56.074
0.011971,-0.098162,-0.047884,3337178526574,2025-08-17 20:03:56.159
-0.035913,-0.067038,-0.136469,3337208464319,2025-08-17 20:03:56.196
-0.019154,-0.016759,-0.047884,3337238432580,2025-08-17 20:03:56.216
0.023942,-0.150835,-0.136469,3337268400842,2025-08-17 20:03:56.259
0.045490,-0.086191,-0.033519,3337418211633,2025-08-17 20:03:56.402
-0.002394,0.019154,-0.031125,3337448149377,2025-08-17 20:03:56.437
-0.021548,0.009577,-0.134075,3337478117639,2025-08-17 20:03:56.468
0.011971,-0.004788,-0.366313,3337508085901,2025-08-17 20:03:56.497
-5.336676,5.973533,-4.134786,3337597990686,2025-08-17 20:03:56.580
-4.697424,6.639122,-5.588067,3337627989465,2025-08-17 20:03:56.611
3.665523,14.353239,13.831304,3337657957727,2025-08-17 20:03:56.645
4.831499,14.355634,28.898014,3337687925988,2025-08-17 20:03:56.673
-4.187459,-8.836999,-3.047819,3337837736779,2025-08-17 20:03:56.822
-6.114791,-11.717223,0.713472,3337867705041,2025-08-17 20:03:56.856
-4.244920,-5.073313,3.711013,3338017607385,2025-08-17 20:03:57.001
-1.867477,-3.945644,3.495534,3338047545129,2025-08-17 20:03:57.038
0.469264,-3.591303,1.067814,3338077513391,2025-08-17 20:03:57.061
2.322376,-3.145981,1.441309,3338107512170,2025-08-17 20:03:57.087
1.070208,-2.935291,0.107739,3338257383996,2025-08-17 20:03:57.244
0.579397,-2.808398,2.176329,3338287352258,2025-08-17 20:03:57.281
-16.979679,-3.260903,19.733011,3338437193567,2025-08-17 20:03:57.417
1.043872,-1.788469,-2.657564,3338467161828,2025-08-17 20:03:57.447
-1.103727,0.988805,-8.741230,3338497130090,2025-08-17 20:03:57.485
0.311246,0.945710,-3.299210,3338527067834,2025-08-17 20:03:57.500
-2.509123,1.180341,-2.985569,3338616972619,2025-08-17 20:03:57.587
-3.677494,-1.668759,-2.468422,3338646940881,2025-08-17 20:03:57.619
1.893813,-2.394202,12.176909,3338676909143,2025-08-17 20:03:57.651
-0.818817,-0.814029,3.383007,3338706877404,2025-08-17 20:03:57.687
8.125920,-4.587290,0.869095,3338856688196,2025-08-17 20:03:57.836
-0.823605,1.010353,-1.364695,3338886625940,2025-08-17 20:03:57.876
1.493982,-0.653617,-2.396596,3338916624719,2025-08-17 20:03:57.905
-0.131681,-0.014365,-1.400608,3338946592981,2025-08-17 20:03:57.937
-0.323217,0.067038,2.631228,3339036467248,2025-08-17 20:03:58.009
1.833959,0.014365,0.852336,3339066435510,2025-08-17 20:03:58.039
-1.616086,-0.289698,-1.886631,3339276243860,2025-08-17 20:03:58.261
-0.263362,-1.142034,-0.304064,3339306242639,2025-08-17 20:03:58.292
-2.937685,1.965640,0.950498,3339456053430,2025-08-17 20:03:58.440
-3.138798,1.661576,-0.201113,3339486021692,2025-08-17 20:03:58.468
-4.244920,1.663970,-0.043096,3339515989953,2025-08-17 20:03:58.496
-3.268085,1.623269,1.256956,3339545927697,2025-08-17 20:03:58.530
-1.376666,-1.467646,-9.337387,3339635893518,2025-08-17 20:03:58.619
-3.131616,0.581791,-6.387730,3339665892297,2025-08-17 20:03:58.653
1.304840,-0.296881,3.931279,3339695891076,2025-08-17 20:03:58.686
0.909797,0.244209,0.181959,3339725859338,2025-08-17 20:03:58.714
0.387861,-0.162806,0.294487,3339875761682,2025-08-17 20:03:58.868
0.742203,-0.483629,-0.284910,3339905790979,2025-08-17 20:03:58.887
