x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
-0.002394,-0.234632,9.844957,19207332293248,2025-04-23 16:26:59.851
0.014365,-0.292093,9.823410,19207362230992,2025-04-23 16:26:59.883
-0.009577,-0.263362,9.789890,19207452166295,2025-04-23 16:26:59.973
-0.050278,-0.256180,9.749189,19207482134557,2025-04-23 16:27:00.006
-0.043096,-0.277727,9.816227,19207512072301,2025-04-23 16:27:00.032
-0.031125,-0.294487,9.794679,19207542071080,2025-04-23 16:27:00.061
-0.009577,-0.217872,9.806650,19207572100377,2025-04-23 16:27:00.093
-0.093374,-0.304064,9.756371,19207602007604,2025-04-23 16:27:00.122
0.011971,-0.227449,9.792285,19207631975865,2025-04-23 16:27:00.152
-0.050278,-0.282516,9.785102,19207661944127,2025-04-23 16:27:00.182
-0.011971,-0.213084,9.823410,19207691942906,2025-04-23 16:27:00.212
-0.033519,-0.234632,9.780313,19207721880651,2025-04-23 16:27:00.241
-0.052672,-0.234632,9.782708,19207751879430,2025-04-23 16:27:00.274
-0.011971,-0.296881,9.825804,19207781908727,2025-04-23 16:27:00.302
-0.016759,-0.263362,9.751583,19207811907506,2025-04-23 16:27:00.333
-0.038307,-0.222661,9.794679,19207841845250,2025-04-23 16:27:00.361
-0.016759,-0.246603,9.844957,19207871844029,2025-04-23 16:27:00.391
-0.081403,-0.217872,9.813833,19207901842809,2025-04-23 16:27:00.422
0.004788,-0.227449,9.753978,19207931841588,2025-04-23 16:27:00.451
-0.021548,-0.280122,9.804255,19207961809850,2025-04-23 16:27:00.482
-0.031125,-0.253785,9.785102,19207991778111,2025-04-23 16:27:00.513
0.028730,-0.241814,9.753978,19208021715856,2025-04-23 16:27:00.541
0.007183,-0.213084,9.758766,19208051745153,2025-04-23 16:27:00.573
-0.062249,-0.263362,9.787497,19208081743932,2025-04-23 16:27:00.602
-0.059855,-0.201113,9.835381,19208111681676,2025-04-23 16:27:00.631
-0.069432,-0.215478,9.777920,19208141619420,2025-04-23 16:27:00.661
-0.004788,-0.232238,9.758766,19208171557164,2025-04-23 16:27:00.693
-0.040701,-0.260968,9.816227,19208201586461,2025-04-23 16:27:00.722
0.002394,-0.313640,9.794679,19208231585240,2025-04-23 16:27:00.753
0.000000,-0.203507,9.830592,19208261522985,2025-04-23 16:27:00.781
-0.031125,-0.241814,9.806650,19208291521764,2025-04-23 16:27:00.811
-0.079009,-0.181959,9.832987,19208321459508,2025-04-23 16:27:00.841
0.047884,-0.268151,9.835381,19208351427770,2025-04-23 16:27:00.874
-0.002394,-0.270545,9.775525,19208381396031,2025-04-23 16:27:00.902
0.007183,-0.248997,9.866506,19208411425328,2025-04-23 16:27:00.934
0.038307,-0.234632,9.801862,19208441393590,2025-04-23 16:27:00.961
-0.043096,-0.258574,9.825804,19208471331334,2025-04-23 16:27:00.993
-0.019154,-0.280122,9.768343,19208501360631,2025-04-23 16:27:01.022
0.050278,-0.301669,9.734824,19208531359410,2025-04-23 16:27:01.054
-0.067038,-0.229843,9.818622,19208561358190,2025-04-23 16:27:01.081
-0.021548,-0.229843,9.746795,19208591387486,2025-04-23 16:27:01.111
-0.014365,-0.208296,9.844957,19208621355748,2025-04-23 16:27:01.140
-0.021548,-0.191536,9.835381,19208651385045,2025-04-23 16:27:01.172
-0.081403,-0.217872,9.847352,19208681353307,2025-04-23 16:27:01.203
-0.074220,-0.316035,9.804255,19208711321569,2025-04-23 16:27:01.234
-0.062249,-0.225055,9.770737,19208741289830,2025-04-23 16:27:01.262
-0.002394,-0.160412,9.804255,19208771319127,2025-04-23 16:27:01.291
-0.028730,-0.215478,9.806650,19208801287389,2025-04-23 16:27:01.322
-0.023942,-0.306458,9.825804,19208831225133,2025-04-23 16:27:01.350
0.011971,-0.215478,9.816227,19208861223912,2025-04-23 16:27:01.381
-0.090980,-0.215478,9.768343,19208891192174,2025-04-23 16:27:01.411
-0.047884,-0.232238,9.787497,19208921190953,2025-04-23 16:27:01.440
-0.035913,-0.256180,9.804255,19208951189733,2025-04-23 16:27:01.472
-0.002394,-0.256180,9.804255,19208981157994,2025-04-23 16:27:01.502
-0.040701,-0.248997,9.809045,19209011187291,2025-04-23 16:27:01.530
0.052672,-0.253785,9.787497,19209041155553,2025-04-23 16:27:01.561
-0.011971,-0.251391,9.737218,19209071154332,2025-04-23 16:27:01.591
-0.050278,-0.186748,9.847352,19209101153111,2025-04-23 16:27:01.622
0.011971,-0.272939,9.777920,19209131090856,2025-04-23 16:27:01.650
-0.038307,-0.220267,9.809045,19209161089635,2025-04-23 16:27:01.682
-0.040701,-0.220267,9.825804,19209191057897,2025-04-23 16:27:01.711
0.074220,-0.229843,9.768343,19209221056676,2025-04-23 16:27:01.742
0.026336,-0.256180,9.689334,19209251024938,2025-04-23 16:27:01.771
-0.055067,-0.268151,9.809045,19209281023717,2025-04-23 16:27:01.799
0.047884,-0.210690,9.832987,19209311022496,2025-04-23 16:27:01.830
-0.031125,-0.253785,9.806650,19209340990758,2025-04-23 16:27:01.860
-0.047884,-0.246603,9.770737,19209370959020,2025-04-23 16:27:01.890
-0.081403,-0.299275,9.785102,19209400957799,2025-04-23 16:27:01.921
-0.052672,-0.256180,9.785102,19209430926061,2025-04-23 16:27:01.951
-0.021548,-0.217872,9.832987,19209460955358,2025-04-23 16:27:01.981
0.019154,-0.258574,9.746795,19209490954137,2025-04-23 16:27:02.020
-0.086191,-0.320823,9.801862,19209520952916,2025-04-23 16:27:02.041
-0.011971,-0.181959,9.806650,19209610979772,2025-04-23 16:27:02.131
0.014365,-0.201113,9.828198,19209640948033,2025-04-23 16:27:02.162
-0.007183,-0.179565,9.794679,19209670916295,2025-04-23 16:27:02.190
0.000000,-0.258574,9.837775,19209700884557,2025-04-23 16:27:02.220
-0.016759,-0.234632,9.835381,19209730852819,2025-04-23 16:27:02.251
-0.086191,-0.349553,9.842564,19209760851598,2025-04-23 16:27:02.281
-0.064643,-0.248997,9.806650,19209790819860,2025-04-23 16:27:02.309
0.002394,-0.294487,9.792285,19209820788121,2025-04-23 16:27:02.340
-0.023942,-0.246603,9.773131,19209910753942,2025-04-23 16:27:02.429
0.040701,-0.251391,9.763555,19209940752721,2025-04-23 16:27:02.461
-0.114922,-0.239420,9.789890,19209970782018,2025-04-23 16:27:02.490
-0.033519,-0.280122,9.797073,19210000719762,2025-04-23 16:27:02.520
-0.002394,-0.181959,9.751583,19210030718541,2025-04-23 16:27:02.550
-0.019154,-0.258574,9.797073,19210060717320,2025-04-23 16:27:02.581
-0.002394,-0.201113,9.789890,19210090685582,2025-04-23 16:27:02.610
-0.021548,-0.237026,9.818622,19210120653844,2025-04-23 16:27:02.641
0.011971,-0.246603,9.801862,19210210650182,2025-04-23 16:27:02.730
-0.033519,-0.169988,9.801862,19210240648961,2025-04-23 16:27:02.760
-0.026336,-0.244209,9.809045,19210270617223,2025-04-23 16:27:02.791
-0.026336,-0.172383,9.842564,19210300585485,2025-04-23 16:27:02.820
0.009577,-0.201113,9.794679,19210330553746,2025-04-23 16:27:02.851
-0.074220,-0.313640,9.765948,19210360491490,2025-04-23 16:27:02.880
-0.026336,-0.177171,9.768343,19210390459752,2025-04-23 16:27:02.911
-0.059855,-0.191536,9.794679,19210420458531,2025-04-23 16:27:02.940
-0.079009,-0.284910,9.866506,19210510363317,2025-04-23 16:27:03.029
0.004788,-0.229843,9.821015,19210540362096,2025-04-23 16:27:03.060
-0.033519,-0.229843,9.809045,19210570360875,2025-04-23 16:27:03.090
-0.043096,-0.244209,9.837775,19210600329137,2025-04-23 16:27:03.119
-0.016759,-0.258574,9.871294,19210630297399,2025-04-23 16:27:03.150
-0.004788,-0.316035,9.797073,19210660296178,2025-04-23 16:27:03.180
0.009577,-0.244209,9.847352,19210690294957,2025-04-23 16:27:03.210
-0.016759,-0.227449,9.749189,19210720232701,2025-04-23 16:27:03.240
-0.081403,-0.251391,9.799467,19210750231481,2025-04-23 16:27:03.270
0.002394,-0.263362,9.825804,19210780260778,2025-04-23 16:27:03.301
-0.052672,-0.270545,9.832987,19210810198522,2025-04-23 16:27:03.330
0.000000,-0.234632,9.777920,19210840136266,2025-04-23 16:27:03.360
-0.019154,-0.277727,9.725247,19210870165563,2025-04-23 16:27:03.392
-0.043096,-0.201113,9.837775,19210900133824,2025-04-23 16:27:03.418
0.011971,-0.225055,9.823410,19210930132604,2025-04-23 16:27:03.451
-0.011971,-0.270545,9.825804,19210960131383,2025-04-23 16:27:03.480
0.011971,-0.256180,9.799467,19210990099645,2025-04-23 16:27:03.512
0.009577,-0.265756,9.804255,19211020098424,2025-04-23 16:27:03.541
-0.021548,-0.203507,9.789890,19211050097203,2025-04-23 16:27:03.571
-0.055067,-0.316035,9.787497,19211080065465,2025-04-23 16:27:03.600
-0.043096,-0.229843,9.787497,19211110033727,2025-04-23 16:27:03.630
-0.055067,-0.248997,9.792285,19211140001988,2025-04-23 16:27:03.660
0.004788,-0.292093,9.830592,19211229967809,2025-04-23 16:27:03.749
-0.038307,-0.268151,9.909601,19211259936070,2025-04-23 16:27:03.779
0.052672,-0.268151,9.794679,19211289904332,2025-04-23 16:27:03.810
0.021548,-0.253785,9.828198,19211319842076,2025-04-23 16:27:03.839
0.009577,-0.239420,9.792285,19211349810338,2025-04-23 16:27:03.871
0.011971,-0.220267,9.823410,19211379839635,2025-04-23 16:27:03.900
-0.040701,-0.265756,9.770737,19211409807897,2025-04-23 16:27:03.934
-0.047884,-0.306458,9.806650,19211439806676,2025-04-23 16:27:03.959
-0.007183,-0.248997,9.806650,19211529680944,2025-04-23 16:27:04.050
-0.026336,-0.258574,9.823410,19211559710240,2025-04-23 16:27:04.078
-0.028730,-0.213084,9.835381,19211589678502,2025-04-23 16:27:04.109
-0.014365,-0.234632,9.825804,19211619646764,2025-04-23 16:27:04.139
0.002394,-0.256180,9.868899,19211649615026,2025-04-23 16:27:04.170
-0.007183,-0.277727,9.801862,19211679583287,2025-04-23 16:27:04.200
