x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
0.002394,-0.339977,9.746795,20432785739488,2025-04-23 16:47:25.308
0.035913,-0.304064,9.792285,20432815738268,2025-04-23 16:47:25.338
0.055067,-0.284910,9.809045,20432845706529,2025-04-23 16:47:25.368
0.047884,-0.354342,9.780313,20432875644274,2025-04-23 16:47:25.396
0.021548,-0.282516,9.730036,20432905612535,2025-04-23 16:47:25.431
0.035913,-0.392649,9.799467,20432935611315,2025-04-23 16:47:25.457
0.016759,-0.294487,9.866506,20432965549059,2025-04-23 16:47:25.489
0.038307,-0.280122,9.830592,20432995547838,2025-04-23 16:47:25.518
0.033519,-0.256180,9.866506,20433025516100,2025-04-23 16:47:25.549
0.000000,-0.359130,9.842564,20433055545397,2025-04-23 16:47:25.580
0.069432,-0.239420,9.821015,20433085483141,2025-04-23 16:47:25.608
0.000000,-0.332794,9.871294,20433115451403,2025-04-23 16:47:25.637
-0.007183,-0.311246,9.849746,20433145419664,2025-04-23 16:47:25.667
0.000000,-0.284910,9.801862,20433175418444,2025-04-23 16:47:25.698
0.007183,-0.265756,9.773131,20433205386705,2025-04-23 16:47:25.728
-0.019154,-0.414197,9.780313,20433235354967,2025-04-23 16:47:25.758
-0.016759,-0.270545,9.794679,20433265353746,2025-04-23 16:47:25.788
-0.079009,-0.363919,9.806650,20433295352526,2025-04-23 16:47:25.819
0.031125,-0.387861,9.785102,20433325320787,2025-04-23 16:47:25.851
0.026336,-0.325611,9.890448,20433355289049,2025-04-23 16:47:25.879
0.031125,-0.301669,9.722853,20433385287828,2025-04-23 16:47:25.908
-0.014365,-0.277727,9.830592,20433415286608,2025-04-23 16:47:25.939
-0.028730,-0.265756,9.837775,20433445254869,2025-04-23 16:47:25.968
0.045490,-0.311246,9.782708,20433475223131,2025-04-23 16:47:25.998
0.069432,-0.277727,9.816227,20433505221910,2025-04-23 16:47:26.028
0.026336,-0.320823,9.746795,20433535220690,2025-04-23 16:47:26.057
0.057461,-0.294487,9.809045,20433565188951,2025-04-23 16:47:26.088
0.059855,-0.260968,9.768343,20433595157213,2025-04-23 16:47:26.117
0.011971,-0.320823,9.854534,20433625155992,2025-04-23 16:47:26.149
0.023942,-0.347159,9.813833,20433655185289,2025-04-23 16:47:26.177
0.009577,-0.299275,9.811439,20433685153551,2025-04-23 16:47:26.207
0.040701,-0.339977,9.775525,20433715152330,2025-04-23 16:47:26.238
0.000000,-0.311246,9.840169,20433805179186,2025-04-23 16:47:26.328
-0.033519,-0.335188,9.794679,20433835147447,2025-04-23 16:47:26.358
-0.009577,-0.332794,9.780313,20433865115709,2025-04-23 16:47:26.388
0.000000,-0.349553,9.746795,20433895083971,2025-04-23 16:47:26.417
-0.016759,-0.311246,9.734824,20433925052233,2025-04-23 16:47:26.448
0.069432,-0.304064,9.799467,20433954989977,2025-04-23 16:47:26.476
0.064643,-0.275333,9.701305,20433984958238,2025-04-23 16:47:26.507
-0.055067,-0.337582,9.797073,20434014987535,2025-04-23 16:47:26.535
0.045490,-0.308852,9.813833,20434044986315,2025-04-23 16:47:26.567
0.000000,-0.356736,9.792285,20434074985094,2025-04-23 16:47:26.597
0.014365,-0.301669,9.825804,20434104983873,2025-04-23 16:47:26.627
-0.026336,-0.311246,9.761160,20434134952135,2025-04-23 16:47:26.657
-0.021548,-0.325611,9.823410,20434164920397,2025-04-23 16:47:26.688
-0.007183,-0.347159,9.830592,20434194888658,2025-04-23 16:47:26.717
0.055067,-0.330400,9.852140,20434224887438,2025-04-23 16:47:26.748
0.038307,-0.361524,9.773131,20434254886217,2025-04-23 16:47:26.777
0.011971,-0.272939,9.773131,20434284884996,2025-04-23 16:47:26.807
0.021548,-0.325611,9.785102,20434314822740,2025-04-23 16:47:26.837
0.088585,-0.366313,9.775525,20434464725084,2025-04-23 16:47:26.987
0.023942,-0.339977,9.773131,20434494693346,2025-04-23 16:47:27.017
0.038307,-0.289698,9.861717,20434524661608,2025-04-23 16:47:27.053
0.050278,-0.289698,9.830592,20434554629869,2025-04-23 16:47:27.076
0.007183,-0.311246,9.830592,20434584659166,2025-04-23 16:47:27.107
-0.028730,-0.313640,9.789890,20434614627428,2025-04-23 16:47:27.137
0.052672,-0.332794,9.780313,20434644595690,2025-04-23 16:47:27.167
-0.059855,-0.387861,9.823410,20434674563951,2025-04-23 16:47:27.198
-0.002394,-0.282516,9.782708,20434704532213,2025-04-23 16:47:27.231
-0.031125,-0.272939,9.811439,20434734561510,2025-04-23 16:47:27.256
0.019154,-0.323217,9.849746,20434764560289,2025-04-23 16:47:27.287
-0.023942,-0.363919,9.837775,20434794528551,2025-04-23 16:47:27.317
0.038307,-0.320823,9.768343,20434824527330,2025-04-23 16:47:27.348
0.016759,-0.316035,9.792285,20434854495592,2025-04-23 16:47:27.379
-0.007183,-0.304064,9.809045,20434884433336,2025-04-23 16:47:27.408
0.035913,-0.325611,9.744401,20434914401598,2025-04-23 16:47:27.437
-0.081403,-0.337582,9.782708,20434944400377,2025-04-23 16:47:27.468
-0.004788,-0.366313,9.782708,20434974368639,2025-04-23 16:47:27.497
0.011971,-0.332794,9.811439,20435004367418,2025-04-23 16:47:27.527
0.055067,-0.318429,9.806650,20435034335680,2025-04-23 16:47:27.556
-0.007183,-0.296881,9.811439,20435064364977,2025-04-23 16:47:27.588
0.026336,-0.215478,9.758766,20435094394274,2025-04-23 16:47:27.618
0.019154,-0.328006,9.854534,20435124393053,2025-04-23 16:47:27.648
0.040701,-0.318429,9.777920,20435154330797,2025-04-23 16:47:27.677
0.050278,-0.330400,9.773131,20435184360094,2025-04-23 16:47:27.709
-0.004788,-0.359130,9.811439,20435214358873,2025-04-23 16:47:27.737
0.035913,-0.313640,9.818622,20435244357653,2025-04-23 16:47:27.768
0.016759,-0.292093,9.806650,20435274325914,2025-04-23 16:47:27.797
-0.045490,-0.371101,9.830592,20435304263658,2025-04-23 16:47:27.826
-0.026336,-0.361524,9.787497,20435334262438,2025-04-23 16:47:27.857
0.064643,-0.337582,9.799467,20435364200182,2025-04-23 16:47:27.893
0.023942,-0.292093,9.756371,20435394168444,2025-04-23 16:47:27.916
0.055067,-0.287304,9.852140,20435424136705,2025-04-23 16:47:27.949
-0.002394,-0.287304,9.852140,20435454104967,2025-04-23 16:47:27.978
0.000000,-0.323217,9.737218,20435484073229,2025-04-23 16:47:28.006
0.033519,-0.292093,9.780313,20435514041490,2025-04-23 16:47:28.038
0.016759,-0.304064,9.809045,20435544040270,2025-04-23 16:47:28.067
0.028730,-0.361524,9.756371,20435574039049,2025-04-23 16:47:28.096
-0.052672,-0.265756,9.816227,20435604007311,2025-04-23 16:47:28.127
-0.007183,-0.287304,9.842564,20435634036608,2025-04-23 16:47:28.157
0.016759,-0.282516,9.818622,20435664035387,2025-04-23 16:47:28.187
0.016759,-0.335188,9.821015,20435694034166,2025-04-23 16:47:28.216
0.064643,-0.330400,9.804255,20435724032945,2025-04-23 16:47:28.246
0.047884,-0.361524,9.746795,20435754001207,2025-04-23 16:47:28.280
0.021548,-0.308852,9.761160,20435783969469,2025-04-23 16:47:28.308
-0.038307,-0.308852,9.818622,20435813937731,2025-04-23 16:47:28.336
0.014365,-0.330400,9.830592,20435843875475,2025-04-23 16:47:28.366
-0.040701,-0.320823,9.816227,20435873843736,2025-04-23 16:47:28.397
0.074220,-0.318429,9.818622,20435903842516,2025-04-23 16:47:28.426
0.009577,-0.325611,9.821015,20435933902330,2025-04-23 16:47:28.457
-0.007183,-0.270545,9.797073,20435963870592,2025-04-23 16:47:28.486
0.074220,-0.332794,9.794679,20435993808336,2025-04-23 16:47:28.515
0.040701,-0.323217,9.775525,20436023807115,2025-04-23 16:47:28.549
