x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
-0.014365,-0.284910,9.765948,19601065895494,2025-04-23 16:33:33.606
-0.050278,-0.383072,9.811439,19601095863756,2025-04-23 16:33:33.617
-0.047884,-0.306458,9.761160,19601125893053,2025-04-23 16:33:33.645
-0.126893,-0.368707,9.730036,19601155861315,2025-04-23 16:33:33.679
-0.088585,-0.356736,9.763555,19601245796617,2025-04-23 16:33:33.769
-0.102951,-0.301669,9.780313,19601275764879,2025-04-23 16:33:33.798
-0.067038,-0.339977,9.770737,19601305763658,2025-04-23 16:33:33.837
-0.129287,-0.349553,9.797073,19601335731920,2025-04-23 16:33:33.856
-0.067038,-0.316035,9.749189,19601365730699,2025-04-23 16:33:33.889
-0.081403,-0.342371,9.758766,19601395668444,2025-04-23 16:33:33.918
-0.071826,-0.359130,9.763555,19601425667223,2025-04-23 16:33:33.952
-0.076614,-0.246603,9.809045,19601455635485,2025-04-23 16:33:33.977
-0.071826,-0.304064,9.816227,19601485634264,2025-04-23 16:33:34.010
-0.064643,-0.330400,9.780313,19601515602526,2025-04-23 16:33:34.039
-0.057461,-0.344765,9.727641,19601545570787,2025-04-23 16:33:34.065
-0.035913,-0.344765,9.773131,19601575539049,2025-04-23 16:33:34.095
-0.122104,-0.395043,9.818622,19601605507311,2025-04-23 16:33:34.124
-0.050278,-0.337582,9.739613,19601635506090,2025-04-23 16:33:34.158
-0.059855,-0.304064,9.811439,19601665504869,2025-04-23 16:33:34.185
-0.074220,-0.328006,9.792285,19601695534166,2025-04-23 16:33:34.217
-0.021548,-0.330400,9.744401,19601725532945,2025-04-23 16:33:34.253
-0.047884,-0.332794,9.830592,19601755531725,2025-04-23 16:33:34.277
-0.086191,-0.395043,9.761160,19601785499986,2025-04-23 16:33:34.310
-0.076614,-0.294487,9.763555,19601815498766,2025-04-23 16:33:34.337
-0.071826,-0.373495,9.828198,19601845528063,2025-04-23 16:33:34.371
-0.059855,-0.373495,9.756371,19601875557360,2025-04-23 16:33:34.398
-0.011971,-0.330400,9.787497,19601905495104,2025-04-23 16:33:34.435
-0.074220,-0.349553,9.780313,19601935493883,2025-04-23 16:33:34.458
-0.033519,-0.397437,9.804255,19601965492662,2025-04-23 16:33:34.497
-0.026336,-0.371101,9.732430,19601995430406,2025-04-23 16:33:34.517
-0.088585,-0.296881,9.794679,19602025429186,2025-04-23 16:33:34.558
-0.074220,-0.380678,9.816227,19602055427965,2025-04-23 16:33:34.576
-0.112527,-0.318429,9.682152,19602145332750,2025-04-23 16:33:34.670
-0.040701,-0.308852,9.756371,19602175331529,2025-04-23 16:33:34.696
-0.026336,-0.296881,9.797073,19602205269274,2025-04-23 16:33:34.728
-0.016759,-0.284910,9.818622,19602235268053,2025-04-23 16:33:34.757
-0.081403,-0.390255,9.758766,19602265236315,2025-04-23 16:33:34.792
-0.079009,-0.284910,9.840169,19602295235094,2025-04-23 16:33:34.817
