x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
1.453280,7.833828,5.535394,3336579069787,2025-08-17 20:03:55.551
1.419762,7.850587,5.446809,3336609068567,2025-08-17 20:03:55.580
1.422156,7.797915,5.497087,3336639006311,2025-08-17 20:03:55.610
1.400608,7.891289,5.451597,3336669005090,2025-08-17 20:03:55.641
1.438915,7.903260,5.504270,3336818876916,2025-08-17 20:03:55.790
1.493982,7.788338,5.453991,3336848845178,2025-08-17 20:03:55.820
1.422156,7.852982,5.425261,3336878813440,2025-08-17 20:03:55.854
1.383849,7.915231,5.482722,3336908812219,2025-08-17 20:03:55.879
1.458069,7.927202,5.590461,3336998778039,2025-08-17 20:03:55.972
1.352724,7.934384,5.408502,3337028746301,2025-08-17 20:03:56.000
1.391031,7.867347,5.398925,3337058714563,2025-08-17 20:03:56.036
1.386243,7.860164,5.499481,3337088682824,2025-08-17 20:03:56.059
1.395820,7.965509,5.516241,3337238432580,2025-08-17 20:03:56.208
1.388637,7.900866,5.458780,3337268400842,2025-08-17 20:03:56.241
1.335965,7.931990,5.506664,3337298369104,2025-08-17 20:03:56.275
1.367089,7.924808,5.535394,3337328306848,2025-08-17 20:03:56.300
1.357512,7.922413,5.511452,3337418211633,2025-08-17 20:03:56.392
1.376666,7.903260,5.449203,3337448149377,2025-08-17 20:03:56.420
1.369483,7.941567,5.322310,3337478117639,2025-08-17 20:03:56.452
1.367089,7.893683,5.142745,3337508085901,2025-08-17 20:03:56.479
5.643134,22.507891,28.184542,3337657957727,2025-08-17 20:03:56.629
6.406884,21.286848,33.672054,3337687925988,2025-08-17 20:03:56.658
-3.732560,0.871489,-2.509123,3337837736779,2025-08-17 20:03:56.807
-5.638345,-2.001553,0.392649,3337867705041,2025-08-17 20:03:56.839
-4.587290,-0.991199,3.940856,3337897673303,2025-08-17 20:03:56.869
-3.390190,0.083797,3.725378,3337927611047,2025-08-17 20:03:56.898
-3.423708,4.860229,4.704607,3338017607385,2025-08-17 20:03:56.991
0.189142,5.006276,4.007894,3338047545129,2025-08-17 20:03:57.019
2.686294,5.741296,2.226608,3338077513391,2025-08-17 20:03:57.049
3.114856,7.216124,1.740585,3338107512170,2025-08-17 20:03:57.077
4.103662,5.966351,2.339135,3338257383996,2025-08-17 20:03:57.227
4.436456,5.509058,4.276044,3338287352258,2025-08-17 20:03:57.259
5.796362,4.845864,5.384560,3338317320520,2025-08-17 20:03:57.295
6.706159,5.485116,7.316680,3338347288781,2025-08-17 20:03:57.317
-4.802769,12.631808,14.267048,3338437193567,2025-08-17 20:03:57.408
3.715801,8.157045,1.513135,3338467161828,2025-08-17 20:03:57.443
1.070208,9.770737,-4.127604,3338497130090,2025-08-17 20:03:57.468
1.362301,10.481815,0.581791,3338527067834,2025-08-17 20:03:57.495
0.442927,9.059659,0.758962,3338616972619,2025-08-17 20:03:57.585
-0.715866,4.862624,4.984728,3338646940881,2025-08-17 20:03:57.615
2.827552,6.998251,12.981361,3338676909143,2025-08-17 20:03:57.646
4.120421,7.414843,6.246472,3338706877404,2025-08-17 20:03:57.676
6.349423,5.664681,8.552089,3338856688196,2025-08-17 20:03:57.827
6.119579,5.755661,3.476381,3338886625940,2025-08-17 20:03:57.859
6.303933,5.525817,3.409343,3338916624719,2025-08-17 20:03:57.889
5.585672,5.801151,4.187459,3338946592981,2025-08-17 20:03:57.917
6.227319,5.403713,7.173028,3339036467248,2025-08-17 20:03:58.005
8.161834,5.193024,6.047753,3339066435510,2025-08-17 20:03:58.034
8.590396,5.202600,8.046912,3339096434289,2025-08-17 20:03:58.068
6.833052,5.559336,3.936068,3339126402551,2025-08-17 20:03:58.096
4.781221,5.504270,1.343147,3339276243860,2025-08-17 20:03:58.246
5.796362,5.030218,5.686229,3339306242639,2025-08-17 20:03:58.276
5.753267,5.906496,6.141128,3339336210901,2025-08-17 20:03:58.306
2.686294,7.249643,4.283227,3339366179162,2025-08-17 20:03:58.336
0.119710,8.437167,6.359000,3339456053430,2025-08-17 20:03:58.428
-0.553061,8.451532,6.818686,3339486021692,2025-08-17 20:03:58.455
-1.745373,8.113950,6.998251,3339515989953,2025-08-17 20:03:58.486
-0.569820,7.716512,8.252813,3339545927697,2025-08-17 20:03:58.516
2.547431,7.019799,8.183381,3339695891076,2025-08-17 20:03:58.668
1.807622,8.176199,5.394136,3339725859338,2025-08-17 20:03:58.696
1.218649,7.927202,5.245696,3339875761682,2025-08-17 20:03:58.847
1.118092,8.111555,5.248090,3339905790979,2025-08-17 20:03:58.875
0.158017,8.396465,4.953603,3339935789758,2025-08-17 20:03:58.907
-1.027112,9.038112,3.615245,3339965788537,2025-08-17 20:03:58.936
-3.198653,8.611943,6.095637,3340115660363,2025-08-17 20:03:59.086
-0.785298,7.647080,6.497863,3340145628625,2025-08-17 20:03:59.116
-0.064643,6.050148,6.981492,3340295500451,2025-08-17 20:03:59.270
1.197101,4.177882,8.056489,3340325438196,2025-08-17 20:03:59.296
1.881842,3.933673,9.497798,3340355436975,2025-08-17 20:03:59.330
1.831564,4.206613,10.156203,3340385374719,2025-08-17 20:03:59.356
1.333570,4.410120,7.429208,3340475248987,2025-08-17 20:03:59.448
2.633622,4.067749,6.203377,3340505217248,2025-08-17 20:03:59.476
1.328782,5.197812,5.889736,3340535185510,2025-08-17 20:03:59.512
-0.672771,5.437232,6.299145,3340565153772,2025-08-17 20:03:59.535
-0.600945,-0.038307,13.857639,3340715056115,2025-08-17 20:03:59.685
-0.119710,0.497994,13.594277,3340745024377,2025-08-17 20:03:59.715
-1.074997,1.845930,11.391612,3340774992639,2025-08-17 20:03:59.745
-1.616086,2.765303,9.806650,3340804930383,2025-08-17 20:03:59.776
-2.193089,3.948039,9.188946,3340894835168,2025-08-17 20:03:59.868
-2.343924,3.885789,9.866506,3340924803430,2025-08-17 20:03:59.896
-1.963245,3.825934,10.285490,3340954771692,2025-08-17 20:03:59.929
-1.702277,2.734178,10.560823,3340984770471,2025-08-17 20:03:59.955
1.441309,-0.636858,8.913613,3341134642297,2025-08-17 20:04:00.118
1.661576,-0.737414,9.730036,3341164580041,2025-08-17 20:04:00.132
1.101333,-0.337582,10.055647,3341194609338,2025-08-17 20:04:00.164
1.156399,-0.093374,9.576807,3341224638635,2025-08-17 20:04:00.192
0.325611,0.282516,10.388441,3341314543420,2025-08-17 20:04:00.283
-0.086191,0.387861,10.666168,3341344572717,2025-08-17 20:04:00.312
-0.117316,0.237026,10.412383,3341374602014,2025-08-17 20:04:00.344
0.007183,0.071826,10.508151,3341404539758,2025-08-17 20:04:00.374
0.131681,0.071826,10.019734,3341554411584,2025-08-17 20:04:00.525
0.201113,-0.081403,10.113108,3341584379846,2025-08-17 20:04:00.555
0.701501,-0.488417,9.868899,3341734404260,2025-08-17 20:04:00.704
0.502782,-0.526724,9.943120,3341764372522,2025-08-17 20:04:00.735
0.629675,-0.548272,10.328587,3341794340783,2025-08-17 20:04:00.766
0.744597,-0.727837,10.132261,3341824309045,2025-08-17 20:04:00.795
1.017536,-0.210690,10.261548,3341914305383,2025-08-17 20:04:00.885
-0.047884,0.328006,9.327810,3341944273645,2025-08-17 20:04:00.915
1.108515,-0.138864,9.904813,3341974241906,2025-08-17 20:04:00.945
0.744597,-0.062249,9.765948,3342004240686,2025-08-17 20:04:00.974
0.569820,0.550666,9.303867,3342154143029,2025-08-17 20:04:01.125
0.713472,0.586579,9.538500,3342184111291,2025-08-17 20:04:01.154
2.403779,-1.395820,9.576807,3342333983117,2025-08-17 20:04:01.313
1.728614,-0.586579,9.275137,3342363981897,2025-08-17 20:04:01.338
0.407014,0.248997,8.755595,3342393980676,2025-08-17 20:04:01.371
-0.567426,0.653617,9.574412,3342423948938,2025-08-17 20:04:01.395
0.253785,0.062249,10.548853,3342513884240,2025-08-17 20:04:01.487
0.857124,-0.402226,10.117896,3342543883020,2025-08-17 20:04:01.513
1.601721,-1.201889,10.500969,3342573881799,2025-08-17 20:04:01.544
1.984793,-2.303222,10.711658,3342603819543,2025-08-17 20:04:01.574
1.707066,-2.504335,10.402806,3342753721887,2025-08-17 20:04:01.724
-0.002394,-1.362301,11.039664,3342783690149,2025-08-17 20:04:01.753
-2.406173,-1.482011,10.378864,3342813719446,2025-08-17 20:04:01.784
-1.407791,-2.940080,5.894525,3342843687707,2025-08-17 20:04:01.814
-7.778761,6.540959,2.940080,3342933653528,2025-08-17 20:04:01.905
-8.719683,8.999804,5.544971,3342963621789,2025-08-17 20:04:01.933
-6.634333,9.998186,4.388572,3342993590051,2025-08-17 20:04:01.966
-4.977545,10.656591,2.303222,3343023619348,2025-08-17 20:04:01.994
-3.794810,11.104307,3.981557,3343173430139,2025-08-17 20:04:02.144
-3.339911,10.764331,4.328717,3343203428918,2025-08-17 20:04:02.174
-1.333570,9.651027,2.918532,3343233397180,2025-08-17 20:04:02.203
-1.249773,9.581595,2.559402,3343263395959,2025-08-17 20:04:02.236
-0.883460,9.404425,5.094861,3343353270227,2025-08-17 20:04:02.325
-0.428562,9.016563,5.691018,3343383269006,2025-08-17 20:04:02.354
-0.586579,9.627085,4.295198,3343413237268,2025-08-17 20:04:02.383
-0.373495,9.512163,6.236896,3343443236047,2025-08-17 20:04:02.413
5.365406,8.734048,-3.560178,3343593138391,2025-08-17 20:04:02.568
2.257732,7.548918,-3.050213,3343623106653,2025-08-17 20:04:02.594
-3.794810,5.870583,-1.623269,3343653074914,2025-08-17 20:04:02.623
-12.916718,6.449979,-0.153229,3343683012658,2025-08-17 20:04:02.652
-12.880805,6.586449,10.117896,3343773008996,2025-08-17 20:04:02.741
-10.086772,5.734113,8.856153,3343802946740,2025-08-17 20:04:02.773
-1.479617,4.656722,1.338359,3343832945520,2025-08-17 20:04:02.801
4.939238,4.663905,-0.768539,3343862944299,2025-08-17 20:04:02.831
-4.613626,10.304645,4.525041,3343952879602,2025-08-17 20:04:02.921
-7.062895,9.787497,-5.358223,3343982847863,2025-08-17 20:04:02.951
-5.607220,5.595249,11.959038,3344012877160,2025-08-17 20:04:02.981
-12.255919,5.042189,17.616535,3344042814904,2025-08-17 20:04:03.011
-4.944026,9.732430,0.363919,3344192808801,2025-08-17 20:04:03.163
5.997475,-0.074220,0.246603,3344222777063,2025-08-17 20:04:03.193
-5.719748,1.455675,13.287820,3344252775842,2025-08-17 20:04:03.223
-14.640543,0.220267,20.992361,3344282713586,2025-08-17 20:04:03.254
3.284845,5.942409,-5.511452,3344372679406,2025-08-17 20:04:03.344
-3.835511,5.963956,5.882554,3344402617151,2025-08-17 20:04:03.372
-10.019734,10.929531,6.813898,3344432585412,2025-08-17 20:04:03.406
-3.181894,8.200141,1.728614,3344462553674,2025-08-17 20:04:03.432
-2.980781,12.490550,-14.252683,3344612517053,2025-08-17 20:04:03.580
