x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
0.002394,-0.368707,9.816227,20519837253062,2025-04-23 16:48:52.364
0.023942,-0.294487,9.770737,20519867221323,2025-04-23 16:48:52.395
0.014365,-0.294487,9.823410,20519897189585,2025-04-23 16:48:52.423
0.007183,-0.349553,9.837775,20519927188364,2025-04-23 16:48:52.454
0.057461,-0.280122,9.840169,20519957187144,2025-04-23 16:48:52.484
0.021548,-0.234632,9.832987,20519987155405,2025-04-23 16:48:52.514
0.011971,-0.378284,9.768343,20520017154185,2025-04-23 16:48:52.544
0.019154,-0.306458,9.797073,20520047122446,2025-04-23 16:48:52.577
-0.009577,-0.335188,9.773131,20520077182261,2025-04-23 16:48:52.609
0.019154,-0.299275,9.844957,20520107120005,2025-04-23 16:48:52.634
-0.011971,-0.354342,9.763555,20520137057749,2025-04-23 16:48:52.665
0.007183,-0.363919,9.789890,20520167087046,2025-04-23 16:48:52.693
0.011971,-0.316035,9.751583,20520197024790,2025-04-23 16:48:52.723
-0.047884,-0.301669,9.888053,20520227023570,2025-04-23 16:48:52.754
0.019154,-0.270545,9.753978,20520257022349,2025-04-23 16:48:52.785
0.062249,-0.256180,9.828198,20520287021128,2025-04-23 16:48:52.818
0.038307,-0.299275,9.813833,20520317050425,2025-04-23 16:48:52.842
0.019154,-0.373495,9.816227,20520347018687,2025-04-23 16:48:52.877
0.047884,-0.289698,9.818622,20520377078501,2025-04-23 16:48:52.902
0.057461,-0.301669,9.787497,20520407077280,2025-04-23 16:48:52.934
0.052672,-0.363919,9.773131,20520437106577,2025-04-23 16:48:52.963
0.062249,-0.270545,9.799467,20520467074839,2025-04-23 16:48:52.994
-0.098162,-0.289698,9.765948,20520497073618,2025-04-23 16:48:53.027
-0.007183,-0.280122,9.789890,20520527041880,2025-04-23 16:48:53.053
-0.002394,-0.306458,9.811439,20520557040659,2025-04-23 16:48:53.094
0.026336,-0.373495,9.775525,20520587008921,2025-04-23 16:48:53.113
0.040701,-0.356736,9.753978,20520616946665,2025-04-23 16:48:53.142
0.086191,-0.284910,9.773131,20520646914927,2025-04-23 16:48:53.174
-0.062249,-0.349553,9.780313,20520676944224,2025-04-23 16:48:53.207
-0.014365,-0.383072,9.749189,20520706912486,2025-04-23 16:48:53.234
0.035913,-0.361524,9.756371,20520736880747,2025-04-23 16:48:53.266
0.028730,-0.351948,9.763555,20520766910044,2025-04-23 16:48:53.298
-0.007183,-0.335188,9.813833,20520796908823,2025-04-23 16:48:53.331
0.023942,-0.344765,9.775525,20520826877085,2025-04-23 16:48:53.354
0.016759,-0.366313,9.842564,20520856875864,2025-04-23 16:48:53.387
0.019154,-0.301669,9.780313,20520886874644,2025-04-23 16:48:53.414
-0.038307,-0.371101,9.844957,20520916812388,2025-04-23 16:48:53.447
0.007183,-0.349553,9.813833,20520946750132,2025-04-23 16:48:53.473
0.023942,-0.268151,9.809045,20520976779429,2025-04-23 16:48:53.510
0.035913,-0.311246,9.809045,20521006778208,2025-04-23 16:48:53.533
0.021548,-0.320823,9.854534,20521036746470,2025-04-23 16:48:53.566
-0.033519,-0.375890,9.787497,20521066775767,2025-04-23 16:48:53.594
0.035913,-0.299275,9.775525,20521096744029,2025-04-23 16:48:53.627
0.021548,-0.339977,9.746795,20521126742808,2025-04-23 16:48:53.654
-0.002394,-0.342371,9.801862,20521156711070,2025-04-23 16:48:53.684
0.052672,-0.330400,9.811439,20521186770884,2025-04-23 16:48:53.714
-0.023942,-0.347159,9.844957,20521216739146,2025-04-23 16:48:53.743
0.011971,-0.383072,9.809045,20521246707407,2025-04-23 16:48:53.775
0.014365,-0.332794,9.742006,20521276706187,2025-04-23 16:48:53.803
-0.011971,-0.320823,9.765948,20521306674448,2025-04-23 16:48:53.832
0.074220,-0.275333,9.806650,20521336612193,2025-04-23 16:48:53.869
0.083797,-0.277727,9.777920,20521366641489,2025-04-23 16:48:53.894
0.026336,-0.361524,9.770737,20521396609751,2025-04-23 16:48:53.926
0.002394,-0.337582,9.737218,20521426608530,2025-04-23 16:48:53.953
0.016759,-0.392649,9.835381,20521456546275,2025-04-23 16:48:53.983
0.038307,-0.318429,9.821015,20521486514536,2025-04-23 16:48:54.014
0.057461,-0.265756,9.775525,20521516482798,2025-04-23 16:48:54.048
0.002394,-0.287304,9.849746,20521546512095,2025-04-23 16:48:54.071
0.035913,-0.407014,9.804255,20521576510874,2025-04-23 16:48:54.102
0.045490,-0.323217,9.787497,20521606479136,2025-04-23 16:48:54.133
0.088585,-0.301669,9.789890,20521636447398,2025-04-23 16:48:54.162
0.000000,-0.284910,9.758766,20521666446177,2025-04-23 16:48:54.193
-0.002394,-0.368707,9.787497,20521696383921,2025-04-23 16:48:54.226
-0.059855,-0.275333,9.816227,20521726352183,2025-04-23 16:48:54.253
-0.035913,-0.306458,9.799467,20521756289927,2025-04-23 16:48:54.286
0.021548,-0.330400,9.844957,20521786288706,2025-04-23 16:48:54.313
0.000000,-0.337582,9.811439,20521816287486,2025-04-23 16:48:54.346
0.040701,-0.339977,9.773131,20521846255747,2025-04-23 16:48:54.373
0.076614,-0.287304,9.770737,20521876285044,2025-04-23 16:48:54.406
0.064643,-0.332794,9.835381,20521906253306,2025-04-23 16:48:54.433
-0.023942,-0.363919,9.837775,20521936221568,2025-04-23 16:48:54.469
-0.045490,-0.318429,9.801862,20521966250864,2025-04-23 16:48:54.492
0.059855,-0.325611,9.799467,20521996249644,2025-04-23 16:48:54.522
0.002394,-0.296881,9.780313,20522026248423,2025-04-23 16:48:54.552
0.055067,-0.308852,9.804255,20522056216685,2025-04-23 16:48:54.583
0.026336,-0.325611,9.768343,20522086184946,2025-04-23 16:48:54.612
0.050278,-0.287304,9.780313,20522116153208,2025-04-23 16:48:54.642
0.023942,-0.342371,9.849746,20522146182505,2025-04-23 16:48:54.674
0.019154,-0.378284,9.799467,20522176150767,2025-04-23 16:48:54.706
0.019154,-0.385466,9.837775,20522206119029,2025-04-23 16:48:54.733
-0.004788,-0.339977,9.775525,20522236117808,2025-04-23 16:48:54.766
0.000000,-0.349553,9.777920,20522266147105,2025-04-23 16:48:54.793
-0.016759,-0.284910,9.804255,20522296084849,2025-04-23 16:48:54.838
