x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
0.366313,0.203507,9.718064,3773655830432,2025-08-17 20:11:12.642
0.433351,0.193930,9.746795,3773685798694,2025-08-17 20:11:12.671
0.397437,0.186748,9.777920,3773835670520,2025-08-17 20:11:12.823
0.414197,0.172383,9.718064,3773865608264,2025-08-17 20:11:12.851
0.411803,0.093374,9.744401,3774015449572,2025-08-17 20:11:13.002
0.392649,0.088585,9.725247,3774045417834,2025-08-17 20:11:13.032
0.459687,0.169988,9.749189,3774075355578,2025-08-17 20:11:13.061
0.452504,0.146046,9.775525,3774105293322,2025-08-17 20:11:13.090
0.447716,0.086191,9.809045,3774255134631,2025-08-17 20:11:13.239
0.404620,0.184354,9.722853,3774285133410,2025-08-17 20:11:13.443
0.390255,0.184354,9.746795,3774315132190,2025-08-17 20:11:13.458
0.438139,0.059855,9.739613,3774345100451,2025-08-17 20:11:13.480
0.354342,0.088585,9.763555,3774375099231,2025-08-17 20:11:13.493
0.466869,0.174777,9.758766,3774405098010,2025-08-17 20:11:13.503
0.011971,-0.490811,10.194510,3774854774524,2025-08-17 20:11:13.837
0.294487,-0.735020,9.866506,3774884742785,2025-08-17 20:11:13.867
0.430956,-0.232238,9.847352,3774914711047,2025-08-17 20:11:13.897
0.596156,0.900220,9.861717,3774944740344,2025-08-17 20:11:13.927
0.806846,0.660800,9.950302,3774974739123,2025-08-17 20:11:13.957
0.325611,-0.126893,10.074800,3775004676867,2025-08-17 20:11:13.988
1.850718,-0.821211,9.911995,3775034706164,2025-08-17 20:11:14.017
0.701501,1.522712,11.001357,3775064704944,2025-08-17 20:11:14.048
1.343147,3.900155,8.631097,3775274635363,2025-08-17 20:11:14.257
1.309628,4.419696,8.542512,3775304634143,2025-08-17 20:11:14.288
0.936133,5.319916,7.532158,3775334602404,2025-08-17 20:11:14.317
0.629675,6.114791,6.691794,3775364631701,2025-08-17 20:11:14.347
0.773327,6.291962,6.426037,3775394630481,2025-08-17 20:11:14.377
0.368707,7.177817,5.652710,3775424659778,2025-08-17 20:11:14.407
0.299275,7.086837,5.714960,3775454658557,2025-08-17 20:11:14.437
0.579397,6.639122,5.987898,3775484596301,2025-08-17 20:11:14.467
1.572991,7.017405,6.619968,3775694526721,2025-08-17 20:11:14.677
1.649605,7.048530,6.660669,3775724525500,2025-08-17 20:11:14.707
1.680730,7.007828,7.022193,3775754524279,2025-08-17 20:11:14.737
1.721431,7.371747,6.629545,3775784492541,2025-08-17 20:11:14.767
1.716643,7.170634,6.713342,3775874458362,2025-08-17 20:11:14.857
1.620875,7.105990,6.943185,3775904426623,2025-08-17 20:11:14.888
1.857901,6.885724,6.821081,3776114448596,2025-08-17 20:11:15.097
1.996764,7.489063,6.165070,3776144386340,2025-08-17 20:11:15.127
1.891419,7.692570,5.564125,3776174385119,2025-08-17 20:11:15.156
1.905785,7.716512,5.851429,3776204353381,2025-08-17 20:11:15.187
2.178724,7.228095,5.623980,3776234321643,2025-08-17 20:11:15.216
1.824382,7.558495,5.035006,3776264320422,2025-08-17 20:11:15.247
2.114080,7.560889,5.425261,3776294288684,2025-08-17 20:11:15.276
2.066196,7.278373,5.415684,3776324287463,2025-08-17 20:11:15.307
1.182736,7.465121,6.301539,3776713874865,2025-08-17 20:11:15.696
1.228225,7.711724,6.270414,3776743904162,2025-08-17 20:11:15.727
1.278504,7.307104,6.315904,3776773841906,2025-08-17 20:11:15.756
1.496376,7.788338,6.394913,3776803779651,2025-08-17 20:11:15.788
-0.234632,5.157111,6.751649,3777013710071,2025-08-17 20:11:16.004
1.292869,6.926425,7.019799,3777043647815,2025-08-17 20:11:16.026
0.701501,6.708553,6.945579,3777073646594,2025-08-17 20:11:16.057
1.489193,6.593631,7.199365,3777103614856,2025-08-17 20:11:16.103
1.180341,6.495469,6.940791,3777193489123,2025-08-17 20:11:16.176
0.847547,7.055712,6.797139,3777223487903,2025-08-17 20:11:16.206
0.926556,6.325481,7.043741,3777313453723,2025-08-17 20:11:16.296
1.106121,6.045359,7.232883,3777343421985,2025-08-17 20:11:16.326
0.816423,6.117185,7.984663,3777493354846,2025-08-17 20:11:16.475
0.802058,5.956774,8.099585,3777523292590,2025-08-17 20:11:16.506
0.778116,5.959168,7.850587,3777553260852,2025-08-17 20:11:16.536
0.577003,6.275203,7.757214,3777583198596,2025-08-17 20:11:16.566
0.682347,5.913678,8.010999,3777613166858,2025-08-17 20:11:16.596
0.665588,5.987898,7.797915,3777643104602,2025-08-17 20:11:16.625
0.574608,6.078878,7.955932,3777912971545,2025-08-17 20:11:16.895
0.598550,5.911284,8.082825,3777942970324,2025-08-17 20:11:16.925
0.667982,5.911284,7.967903,3777972969104,2025-08-17 20:11:16.958
0.670376,5.829881,7.821857,3778002937365,2025-08-17 20:11:16.986
0.557849,5.961562,7.527370,3778032966662,2025-08-17 20:11:17.015
0.768539,5.949591,7.460332,3778062995959,2025-08-17 20:11:17.046
1.781286,5.295974,7.908048,3778332923938,2025-08-17 20:11:17.315
0.773327,5.916072,7.625533,3778362861682,2025-08-17 20:11:17.345
0.490811,6.344635,7.601591,3778392829944,2025-08-17 20:11:17.375
0.138864,7.204153,7.505822,3778422828723,2025-08-17 20:11:17.405
-0.359130,7.829040,7.000646,3778452796985,2025-08-17 20:11:17.435
0.253785,7.563283,7.252037,3778482795764,2025-08-17 20:11:17.471
1.455675,5.506664,8.652645,3778752662707,2025-08-17 20:11:17.735
1.285686,5.499481,7.963115,3778782630969,2025-08-17 20:11:17.765
1.089362,5.449203,7.738060,3778812660266,2025-08-17 20:11:17.795
0.785298,5.631162,7.168240,3778842659045,2025-08-17 20:11:17.825
0.679953,5.980716,6.600814,3778872596789,2025-08-17 20:11:17.855
0.773327,6.064513,6.789956,3778902565051,2025-08-17 20:11:17.886
0.754174,6.792350,6.227319,3778932594348,2025-08-17 20:11:17.915
0.972046,6.442797,6.845023,3778962593127,2025-08-17 20:11:17.950
1.115698,5.906496,8.039729,3779172462512,2025-08-17 20:11:18.155
1.240196,5.837064,8.468291,3779202461291,2025-08-17 20:11:18.186
1.149217,5.710171,8.585608,3779232460071,2025-08-17 20:11:18.215
1.048660,5.480328,8.765172,3779262428332,2025-08-17 20:11:18.245
0.670376,5.250484,8.331821,3779352363635,2025-08-17 20:11:18.334
0.392649,5.865794,7.390901,3779382392932,2025-08-17 20:11:18.365
0.548272,5.825093,7.960721,3779592292834,2025-08-17 20:11:18.574
0.502782,5.698200,8.312668,3779622261096,2025-08-17 20:11:18.605
0.524330,5.896919,8.298303,3779652229358,2025-08-17 20:11:18.634
0.292093,5.949591,8.180987,3779682228137,2025-08-17 20:11:18.665
0.275333,5.980716,7.613562,3779772224475,2025-08-17 20:11:18.754
0.268151,5.985504,7.709330,3779802223254,2025-08-17 20:11:18.786
0.675165,6.347029,7.570466,3780012214709,2025-08-17 20:11:18.994
0.665588,6.356606,7.383718,3780042213488,2025-08-17 20:11:19.025
0.579397,6.198588,7.553706,3780072151233,2025-08-17 20:11:19.054
0.586579,6.165070,7.556100,3780102180529,2025-08-17 20:11:19.086
0.665588,6.155493,7.620744,3780132240344,2025-08-17 20:11:19.114
0.706290,6.121974,7.546524,3780162208606,2025-08-17 20:11:19.189
0.897826,6.476315,7.307104,3780372261096,2025-08-17 20:11:19.354
0.869095,6.382942,7.278373,3780402290393,2025-08-17 20:11:19.386
0.866701,6.435614,7.264008,3780432289172,2025-08-17 20:11:19.415
0.945710,6.359000,7.371747,3780462287951,2025-08-17 20:11:19.445
1.122881,6.124368,7.577648,3780612312365,2025-08-17 20:11:19.595
1.115698,6.284780,7.694964,3780642311145,2025-08-17 20:11:19.648
1.170765,5.971139,7.647080,3780792335559,2025-08-17 20:11:19.774
1.165976,5.734113,7.467515,3780822334338,2025-08-17 20:11:19.805
1.108515,5.722142,7.515399,3780852363635,2025-08-17 20:11:19.834
1.089362,5.652710,7.486669,3780882392932,2025-08-17 20:11:19.865
0.835576,5.585672,7.632715,3780972419787,2025-08-17 20:11:19.955
0.677559,5.796362,7.745243,3781002388049,2025-08-17 20:11:19.986
0.399832,5.753267,7.941567,3781032447863,2025-08-17 20:11:20.016
0.507571,5.736507,8.056489,3781062446643,2025-08-17 20:11:20.045
0.040701,5.164293,8.149862,3781212440539,2025-08-17 20:11:20.195
0.062249,5.260061,8.202535,3781242439319,2025-08-17 20:11:20.226
0.222661,5.298368,8.078036,3781272407580,2025-08-17 20:11:20.254
0.260968,5.238513,8.209718,3781302436877,2025-08-17 20:11:20.286
0.361524,5.145139,8.228871,3781392433215,2025-08-17 20:11:20.377
0.361524,5.274426,8.171411,3781422462512,2025-08-17 20:11:20.405
0.088585,5.224148,8.255207,3781452430774,2025-08-17 20:11:20.436
-0.040701,4.599261,8.856153,3781482429553,2025-08-17 20:11:20.467
-0.984017,4.599261,8.202535,3781632362414,2025-08-17 20:11:20.617
-1.034295,4.455609,8.324639,3781662330676,2025-08-17 20:11:20.648
-1.498770,3.462016,9.557653,3781812416125,2025-08-17 20:11:20.796
-1.505953,3.493140,10.196905,3781842414904,2025-08-17 20:11:20.826
-1.529895,3.253720,10.709264,3781872413684,2025-08-17 20:11:20.855
-1.333570,2.944868,10.117896,3781902381946,2025-08-17 20:11:20.886
-1.362301,2.571373,8.908825,3782052314807,2025-08-17 20:11:21.038
-0.969652,2.765303,9.126697,3782082313586,2025-08-17 20:11:21.066
-0.945710,2.341529,9.995792,3782112342883,2025-08-17 20:11:21.097
-1.118092,1.891419,10.014946,3782142311145,2025-08-17 20:11:21.125
-0.622492,-0.021548,9.270349,3782232307483,2025-08-17 20:11:21.219
-0.483629,0.430956,9.370906,3782262336779,2025-08-17 20:11:21.246
0.086191,1.168370,9.536105,3782472419787,2025-08-17 20:11:21.456
-0.543484,1.544260,8.372523,3782502418567,2025-08-17 20:11:21.487
-0.404620,0.445322,9.255983,3782532386828,2025-08-17 20:11:21.516
-1.130063,0.304064,8.887277,3782562385608,2025-08-17 20:11:21.546
-0.818817,2.001553,8.872911,3782652442981,2025-08-17 20:11:21.637
-0.644040,2.925714,10.263943,3782682411242,2025-08-17 20:11:21.668
1.388637,3.713407,9.856929,3782832313586,2025-08-17 20:11:21.819
0.730232,2.032677,8.458714,3782862312365,2025-08-17 20:11:21.846
0.641646,3.476381,9.696517,3782892372180,2025-08-17 20:11:21.877
0.598550,2.918532,9.301474,3782922370959,2025-08-17 20:11:21.919
0.648829,2.806004,9.296685,3783072303821,2025-08-17 20:11:22.058
0.624887,2.949656,9.296685,3783102211047,2025-08-17 20:11:22.086
0.684742,2.772485,9.205706,3783252204944,2025-08-17 20:11:22.239
0.691924,3.057395,9.306262,3783282203723,2025-08-17 20:11:22.268
0.622492,2.949656,9.260772,3783312171985,2025-08-17 20:11:22.297
0.656011,3.059790,9.334992,3783342140246,2025-08-17 20:11:22.333
0.421380,3.775656,9.186552,3783492042590,2025-08-17 20:11:22.477
0.299275,2.940080,9.212888,3783522041369,2025-08-17 20:11:22.507
0.921768,2.573767,9.646238,3783671974231,2025-08-17 20:11:22.654
0.792481,2.051831,9.356541,3783701942492,2025-08-17 20:11:22.686
1.484405,0.383072,9.900024,3783851936389,2025-08-17 20:11:22.838
1.163582,1.055843,9.583989,3783881904651,2025-08-17 20:11:22.866
1.259350,1.340753,9.545682,3783911903430,2025-08-17 20:11:22.898
1.264138,0.651223,9.660604,3783941902209,2025-08-17 20:11:22.927
1.513135,0.328006,9.643845,3784091926623,2025-08-17 20:11:23.077
1.338359,0.447716,9.806650,3784121925403,2025-08-17 20:11:23.106
1.304840,0.708684,9.579201,3784151893664,2025-08-17 20:11:23.136
1.455675,0.395043,9.689334,3784181831408,2025-08-17 20:11:23.167
1.369483,0.586579,9.631873,3784331794787,2025-08-17 20:11:23.319
1.364695,0.713472,9.493010,3784361763049,2025-08-17 20:11:23.359
1.350330,0.548272,9.610326,3784511695910,2025-08-17 20:11:23.499
1.355118,1.055843,9.572019,3784541694690,2025-08-17 20:11:23.531
1.197101,0.840365,9.694122,3784571693469,2025-08-17 20:11:23.556
1.240196,0.541090,9.773131,3784601692248,2025-08-17 20:11:23.586
1.367089,0.562637,9.646238,3784691658069,2025-08-17 20:11:23.677
1.395820,0.603339,9.531317,3784721656848,2025-08-17 20:11:23.705
1.254562,0.986411,9.751583,3784931495715,2025-08-17 20:11:23.915
1.276109,0.790087,9.706094,3784961433459,2025-08-17 20:11:23.946
1.446098,0.622492,9.682152,3784991401721,2025-08-17 20:11:23.977
1.312023,1.031901,9.528923,3785021369983,2025-08-17 20:11:24.007
1.340753,0.835576,9.636662,3785111274768,2025-08-17 20:11:24.095
1.369483,0.866701,9.631873,3785141212512,2025-08-17 20:11:24.126
1.233014,0.742203,9.794679,3785350929309,2025-08-17 20:11:24.335
1.352724,0.569820,9.768343,3785380867053,2025-08-17 20:11:24.364
1.211466,1.094150,9.560047,3785410896350,2025-08-17 20:11:24.393
1.242591,1.149217,9.519346,3785440864612,2025-08-17 20:11:24.431
1.312023,0.708684,9.641450,3785530891467,2025-08-17 20:11:24.513
1.221043,0.644040,9.646238,3785560829211,2025-08-17 20:11:24.543
1.278504,0.706290,9.651027,3785710731555,2025-08-17 20:11:24.693
1.228225,0.696713,9.605537,3785740699817,2025-08-17 20:11:24.723
1.211466,0.648829,9.775525,3785770698596,2025-08-17 20:11:24.753
1.338359,0.512359,9.562442,3785800636340,2025-08-17 20:11:24.784
1.271321,0.629675,9.765948,3785950447131,2025-08-17 20:11:24.934
1.312023,0.466869,9.737218,3785980384875,2025-08-17 20:11:24.965
1.206678,0.746991,9.684546,3786130378772,2025-08-17 20:11:25.118
1.343147,0.490811,9.722853,3786160347033,2025-08-17 20:11:25.146
1.300052,0.718261,9.615114,3786190345813,2025-08-17 20:11:25.176
1.223437,0.900220,9.605537,3786220344592,2025-08-17 20:11:25.208
1.271321,0.816423,9.682152,3786310310412,2025-08-17 20:11:25.296
1.256956,0.699107,9.689334,3786340309192,2025-08-17 20:11:25.325
1.297657,0.658405,9.607931,3786370277453,2025-08-17 20:11:25.354
1.259350,0.541090,9.758766,3786400276233,2025-08-17 20:11:25.386
1.254562,0.770933,9.696517,3786550239612,2025-08-17 20:11:25.535
1.266533,0.627281,9.710882,3786580207873,2025-08-17 20:11:25.564
1.223437,0.567426,9.684546,3786610176135,2025-08-17 20:11:25.595
1.283292,0.605733,9.653421,3786640144397,2025-08-17 20:11:25.626
1.278504,0.545878,9.742006,3786730140735,2025-08-17 20:11:25.716
1.268927,0.701501,9.670180,3786760139514,2025-08-17 20:11:25.744
1.240196,0.598550,9.742006,3786790107776,2025-08-17 20:11:25.777
1.259350,0.689530,9.689334,3786820106555,2025-08-17 20:11:25.807
1.256956,0.689530,9.643845,3786970100451,2025-08-17 20:11:25.954
1.187524,0.677559,9.631873,3787000038196,2025-08-17 20:11:25.987
1.271321,0.545878,9.763555,3787030036975,2025-08-17 20:11:26.014
1.352724,0.555455,9.727641,3787060005237,2025-08-17 20:11:26.044
1.108515,0.670376,9.672575,3787150001574,2025-08-17 20:11:26.138
1.158794,0.770933,9.691729,3787180000354,2025-08-17 20:11:26.165
1.218649,0.617704,9.801862,3787329933215,2025-08-17 20:11:26.368
1.381454,0.440533,9.677363,3787359901477,2025-08-17 20:11:26.396
1.295263,0.711078,9.658210,3787389930774,2025-08-17 20:11:26.415
1.065420,0.723049,9.672575,3787419960071,2025-08-17 20:11:26.444
1.333570,0.306458,9.706094,3787569892932,2025-08-17 20:11:26.553
1.127669,0.512359,9.694122,3787599952746,2025-08-17 20:11:26.584
1.125275,0.457293,9.615114,3787749855090,2025-08-17 20:11:26.732
0.921768,0.581791,9.765948,3787779792834,2025-08-17 20:11:26.762
1.230620,0.440533,9.682152,3787809791613,2025-08-17 20:11:26.792
1.185130,0.378284,9.708488,3787839759875,2025-08-17 20:11:26.822
1.120486,0.644040,9.696517,3787989631701,2025-08-17 20:11:26.972
1.115698,0.596156,9.610326,3788019660998,2025-08-17 20:11:27.003
1.228225,0.574608,9.655815,3788169624377,2025-08-17 20:11:27.158
1.216254,0.481235,9.713276,3788199623156,2025-08-17 20:11:27.185
1.137246,0.708684,9.715671,3788229621936,2025-08-17 20:11:27.216
1.096544,0.730232,9.670180,3788259559680,2025-08-17 20:11:27.244
1.206678,0.488417,9.751583,3788409462024,2025-08-17 20:11:27.395
1.201889,0.385466,9.713276,3788439430285,2025-08-17 20:11:27.427
1.187524,0.665588,9.706094,3788589424182,2025-08-17 20:11:27.576
1.283292,0.519542,9.670180,3788619453479,2025-08-17 20:11:27.604
1.268927,0.466869,9.758766,3788649391223,2025-08-17 20:11:27.634
1.249773,0.476446,9.801862,3788679390002,2025-08-17 20:11:27.663
1.156399,0.687136,9.689334,3788769264270,2025-08-17 20:11:27.755
1.098939,0.799663,9.742006,3788799263049,2025-08-17 20:11:27.784
